"INFORMATION TYPE","DATE","PERIOD","WEP ($/MWh)","USEP ($/MWh)","AFP ($/MWh)","HEUR ($/MWh)","HLCU ($/MWh)","MEUC ($/MWh)","EMC Price Cap Fees ($/MWh)","EMC Price Adj Fees ($/MWh)","PSO Fees ($/MWh)"
"WEP","01 Apr 2018","1","97.31","96.09","0.66","-0.27","0.00","0.21","0.3016","0.0000","0.3276"
"WEP","01 Apr 2018","2","96.80","96.08","0.24","-0.36","0.00","0.21","0.3016","0.0000","0.3276"
"WEP","01 Apr 2018","3","96.00","95.29","0.14","-0.27","0.00","0.21","0.3016","0.0000","0.3276"
"WEP","01 Apr 2018","4","95.71","94.52","0.14","0.21","0.00","0.21","0.3016","0.0000","0.3276"
"WEP","01 Apr 2018","5","95.21","93.82","0.37","0.18","0.00","0.21","0.3016","0.0000","0.3276"
"WEP","01 Apr 2018","6","93.58","92.48","0.24","0.02","0.00","0.21","0.3016","0.0000","0.3276"
"WEP","01 Apr 2018","7","93.05","92.03","0.24","-0.06","0.00","0.21","0.3016","0.0000","0.3276"
"WEP","01 Apr 2018","8","91.69","90.67","0.36","-0.18","0.00","0.21","0.3016","0.0000","0.3276"
"WEP","01 Apr 2018","9","91.47","90.15","0.36","0.12","0.00","0.21","0.3016","0.0000","0.3276"
"WEP","01 Apr 2018","10","91.41","90.19","0.28","0.10","0.00","0.21","0.3016","0.0000","0.3276"
"WEP","01 Apr 2018","11","91.87","90.70","0.15","0.18","0.00","0.21","0.3016","0.0000","0.3276"
"WEP","01 Apr 2018","12","93.78","92.46","0.29","0.19","0.00","0.21","0.3016","0.0000","0.3276"
"WEP","01 Apr 2018","13","93.83","92.46","0.44","0.09","0.00","0.21","0.3016","0.0000","0.3276"
"WEP","01 Apr 2018","14","94.15","93.03","0.51","-0.22","0.00","0.21","0.3016","0.0000","0.3276"
"WEP","01 Apr 2018","15","93.28","92.48","0.74","-0.78","0.00","0.21","0.3016","0.0000","0.3276"
"WEP","01 Apr 2018","16","95.07","93.84","0.74","-0.35","0.00","0.21","0.3016","0.0000","0.3276"
"WEP","01 Apr 2018","17","95.05","93.80","0.74","-0.33","0.00","0.21","0.3016","0.0000","0.3276"
"WEP","01 Apr 2018","18","95.72","94.56","0.91","-0.59","0.00","0.21","0.3016","0.0000","0.3276"
"WEP","01 Apr 2018","19","96.51","95.77","0.54","-0.64","0.00","0.21","0.3016","0.0000","0.3276"
"WEP","01 Apr 2018","20","99.79","98.65","0.56","-0.26","0.00","0.21","0.3016","0.0000","0.3276"
"WEP","01 Apr 2018","21","114.55","113.90","0.55","-0.74","0.00","0.21","0.3016","0.0000","0.3276"
"WEP","01 Apr 2018","22","96.67","95.92","0.42","-0.51","0.00","0.21","0.3016","0.0000","0.3276"
"WEP","01 Apr 2018","23","97.26","96.72","0.33","-0.63","0.00","0.21","0.3016","0.0000","0.3276"
"WEP","01 Apr 2018","24","95.04","94.52","0.27","-0.59","0.00","0.21","0.3016","0.0000","0.3276"
"WEP","01 Apr 2018","25","96.25","95.63","0.29","-0.51","0.00","0.21","0.3016","0.0000","0.3276"
"WEP","01 Apr 2018","26","94.93","94.53","0.27","-0.71","0.00","0.21","0.3016","0.0000","0.3276"
"WEP","01 Apr 2018","27","95.01","94.53","0.26","-0.62","0.00","0.21","0.3016","0.0000","0.3276"
"WEP","01 Apr 2018","28","96.06","95.65","0.29","-0.72","0.00","0.21","0.3016","0.0000","0.3276"
"WEP","01 Apr 2018","29","96.13","95.64","0.29","-0.64","0.00","0.21","0.3016","0.0000","0.3276"
"WEP","01 Apr 2018","30","95.14","94.53","0.27","-0.49","0.00","0.21","0.3016","0.0000","0.3276"
"WEP","01 Apr 2018","31","96.60","96.15","0.30","-0.69","0.00","0.21","0.3016","0.0000","0.3276"
"WEP","01 Apr 2018","32","94.94","94.54","0.27","-0.71","0.00","0.21","0.3016","0.0000","0.3276"
"WEP","01 Apr 2018","33","95.06","94.55","0.28","-0.61","0.00","0.21","0.3016","0.0000","0.3276"
"WEP","01 Apr 2018","34","95.63","94.53","1.07","-0.81","0.00","0.21","0.3016","0.0000","0.3276"
"WEP","01 Apr 2018","35","96.14","94.54","1.65","-0.89","0.00","0.21","0.3016","0.0000","0.3276"
"WEP","01 Apr 2018","36","96.15","94.52","1.80","-1.00","0.00","0.21","0.3016","0.0000","0.3276"
"WEP","01 Apr 2018","37","96.38","94.52","2.01","-0.99","0.00","0.21","0.3016","0.0000","0.3276"
"WEP","01 Apr 2018","38","98.11","96.71","1.78","-1.22","0.00","0.21","0.3016","0.0000","0.3276"
"WEP","01 Apr 2018","39","137.04","133.94","3.45","-1.18","0.00","0.21","0.3016","0.0000","0.3276"
"WEP","01 Apr 2018","40","150.59","149.20","1.61","-1.06","0.00","0.21","0.3016","0.0000","0.3276"
"WEP","01 Apr 2018","41","154.72","152.62","1.59","-0.33","0.00","0.21","0.3016","0.0000","0.3276"
"WEP","01 Apr 2018","42","172.34","170.21","1.84","-0.55","0.00","0.21","0.3016","0.0000","0.3276"
"WEP","01 Apr 2018","43","174.96","172.70","1.91","-0.49","0.00","0.21","0.3016","0.0000","0.3276"
"WEP","01 Apr 2018","44","136.62","135.44","1.12","-0.78","0.00","0.21","0.3016","0.0000","0.3276"
"WEP","01 Apr 2018","45","97.92","96.39","0.49","0.20","0.00","0.21","0.3016","0.0000","0.3276"
"WEP","01 Apr 2018","46","95.46","94.29","0.29","0.04","0.00","0.21","0.3016","0.0000","0.3276"
"WEP","01 Apr 2018","47","95.88","94.42","0.30","0.32","0.00","0.21","0.3016","0.0000","0.3276"
"WEP","01 Apr 2018","48","95.17","93.89","0.29","0.15","0.00","0.21","0.3016","0.0000","0.3276"
"WEP","02 Apr 2018","1","94.79","93.83","0.68","-0.52","0.00","0.21","0.3016","0.0000","0.2923"
"WEP","02 Apr 2018","2","94.76","93.82","0.35","-0.22","0.00","0.21","0.3016","0.0000","0.2923"
"WEP","02 Apr 2018","3","94.84","93.72","0.24","0.07","0.00","0.21","0.3016","0.0000","0.2923"
"WEP","02 Apr 2018","4","94.85","93.88","0.24","-0.07","0.00","0.21","0.3016","0.0000","0.2923"
"WEP","02 Apr 2018","5","94.67","93.52","0.35","-0.01","0.00","0.21","0.3016","0.0000","0.2923"
"WEP","02 Apr 2018","6","93.21","92.44","0.24","-0.27","0.00","0.21","0.3016","0.0000","0.2923"
"WEP","02 Apr 2018","7","92.82","92.18","0.24","-0.40","0.00","0.21","0.3016","0.0000","0.2923"
"WEP","02 Apr 2018","8","93.41","92.18","0.31","0.11","0.00","0.21","0.3016","0.0000","0.2923"
"WEP","02 Apr 2018","9","90.91","90.02","0.28","-0.19","0.00","0.21","0.3016","0.0000","0.2923"
"WEP","02 Apr 2018","10","88.29","87.55","0.24","-0.30","0.00","0.21","0.3016","0.0000","0.2923"
"WEP","02 Apr 2018","11","87.56","86.66","0.24","-0.14","0.00","0.21","0.3016","0.0000","0.2923"
"WEP","02 Apr 2018","12","88.56","87.58","0.28","-0.10","0.00","0.21","0.3016","0.0000","0.2923"
"WEP","02 Apr 2018","13","92.31","91.77","0.28","-0.54","0.00","0.21","0.3016","0.0000","0.2923"
"WEP","02 Apr 2018","14","92.97","92.51","0.28","-0.62","0.00","0.21","0.3016","0.0000","0.2923"
"WEP","02 Apr 2018","15","82.45","82.33","0.33","-1.02","0.00","0.21","0.3016","0.0000","0.2923"
"WEP","02 Apr 2018","16","88.98","88.87","0.32","-1.02","0.00","0.21","0.3016","0.0000","0.2923"
