"INFORMATION TYPE","DATE","PERIOD","WEP ($/MWh)","USEP ($/MWh)","AFP ($/MWh)","HEUR ($/MWh)","HLCU ($/MWh)","MEUC ($/MWh)","EMC Price Cap Fees ($/MWh)","EMC Price Adj Fees ($/MWh)","PSO Fees ($/MWh)"
"WEP","01 Aug 2018","1","119.71","118.98","0.19","-0.10","0.00","0.11","0.3016","0.0000","0.2293"
"WEP","01 Aug 2018","2","116.10","115.03","0.04","0.38","0.00","0.11","0.3016","0.0000","0.2293"
"WEP","01 Aug 2018","3","114.91","114.36","0.04","-0.13","0.00","0.11","0.3016","0.0000","0.2293"
"WEP","01 Aug 2018","4","111.58","110.84","0.04","0.06","0.00","0.11","0.3016","0.0000","0.2293"
"WEP","01 Aug 2018","5","109.84","109.35","0.03","-0.18","0.00","0.11","0.3016","0.0000","0.2293"
"WEP","01 Aug 2018","6","109.60","108.86","0.02","0.08","0.00","0.11","0.3016","0.0000","0.2293"
"WEP","01 Aug 2018","7","106.53","105.90","0.02","-0.03","0.00","0.11","0.3016","0.0000","0.2293"
"WEP","01 Aug 2018","8","106.35","105.57","0.02","0.12","0.00","0.11","0.3016","0.0000","0.2293"
"WEP","01 Aug 2018","9","106.17","105.56","0.02","-0.05","0.00","0.11","0.3016","0.0000","0.2293"
"WEP","01 Aug 2018","10","106.26","105.55","0.02","0.05","0.00","0.11","0.3016","0.0000","0.2293"
"WEP","01 Aug 2018","11","107.79","107.38","0.04","-0.27","0.00","0.11","0.3016","0.0000","0.2293"
"WEP","01 Aug 2018","12","106.75","105.80","0.20","0.11","0.00","0.11","0.3016","0.0000","0.2293"
"WEP","01 Aug 2018","13","113.95","113.94","0.36","-0.99","0.00","0.11","0.3016","0.0000","0.2293"
"WEP","01 Aug 2018","14","115.02","115.05","0.36","-1.03","0.00","0.11","0.3016","0.0000","0.2293"
"WEP","01 Aug 2018","15","113.99","113.81","0.53","-1.00","0.00","0.11","0.3016","0.0000","0.2293"
"WEP","01 Aug 2018","16","120.15","120.05","0.71","-1.25","0.00","0.11","0.3016","0.0000","0.2293"
"WEP","01 Aug 2018","17","129.29","128.08","1.88","-1.31","0.00","0.11","0.3016","0.0000","0.2293"
"WEP","01 Aug 2018","18","132.05","130.42","1.99","-1.00","0.00","0.11","0.3016","0.0000","0.2293"
"WEP","01 Aug 2018","19","140.84","138.61","2.46","-0.88","0.00","0.11","0.3016","0.0000","0.2293"
"WEP","01 Aug 2018","20","135.39","134.44","1.46","-1.16","0.00","0.11","0.3016","0.0000","0.2293"
"WEP","01 Aug 2018","21","130.96","130.37","1.06","-1.11","0.00","0.11","0.3016","0.0000","0.2293"
"WEP","01 Aug 2018","22","129.50","129.02","0.88","-1.04","0.00","0.11","0.3016","0.0000","0.2293"
"WEP","01 Aug 2018","23","118.90","118.89","0.40","-1.03","0.00","0.11","0.3016","0.0000","0.2293"
"WEP","01 Aug 2018","24","110.07","109.95","0.35","-0.87","0.00","0.11","0.3016","0.0000","0.2293"
"WEP","01 Aug 2018","25","105.61","105.44","0.34","-0.81","0.00","0.11","0.3016","0.0000","0.2293"
"WEP","01 Aug 2018","26","105.08","104.70","0.34","-0.60","0.00","0.11","0.3016","0.0000","0.2293"
"WEP","01 Aug 2018","27","104.82","104.66","0.23","-0.71","0.00","0.11","0.3016","0.0000","0.2293"
"WEP","01 Aug 2018","28","104.60","104.67","0.15","-0.86","0.00","0.11","0.3016","0.0000","0.2293"
"WEP","01 Aug 2018","29","104.60","104.64","0.15","-0.83","0.00","0.11","0.3016","0.0000","0.2293"
"WEP","01 Aug 2018","30","104.31","104.64","0.14","-1.12","0.00","0.11","0.3016","0.0000","0.2293"
"WEP","01 Aug 2018","31","104.32","104.64","0.14","-1.10","0.00","0.11","0.3016","0.0000","0.2293"
"WEP","01 Aug 2018","32","104.45","104.64","0.14","-0.97","0.00","0.11","0.3016","0.0000","0.2293"
"WEP","01 Aug 2018","33","104.46","104.55","0.15","-0.88","0.00","0.11","0.3016","0.0000","0.2293"
"WEP","01 Aug 2018","34","104.40","104.87","0.10","-1.21","0.00","0.11","0.3016","0.0000","0.2293"
"WEP","01 Aug 2018","35","104.56","104.65","0.38","-1.11","0.00","0.11","0.3016","0.0000","0.2293"
"WEP","01 Aug 2018","36","98.98","98.67","0.54","-0.87","0.00","0.11","0.3016","0.0000","0.2293"
"WEP","01 Aug 2018","37","96.87","96.24","0.50","-0.51","0.00","0.11","0.3016","0.0000","0.2293"
"WEP","01 Aug 2018","38","97.25","96.61","0.50","-0.50","0.00","0.11","0.3016","0.0000","0.2293"
"WEP","01 Aug 2018","39","99.26","98.72","0.52","-0.62","0.00","0.11","0.3016","0.0000","0.2293"
"WEP","01 Aug 2018","40","99.54","99.58","0.41","-1.09","0.00","0.11","0.3016","0.0000","0.2293"
"WEP","01 Aug 2018","41","103.59","103.65","0.25","-0.95","0.00","0.11","0.3016","0.0000","0.2293"
"WEP","01 Aug 2018","42","112.77","113.39","0.27","-1.53","0.00","0.11","0.3016","0.0000","0.2293"
"WEP","01 Aug 2018","43","120.33","120.11","0.39","-0.81","0.00","0.11","0.3016","0.0000","0.2293"
"WEP","01 Aug 2018","44","114.25","114.21","0.27","-0.87","0.00","0.11","0.3016","0.0000","0.2293"
"WEP","01 Aug 2018","45","105.44","105.09","0.18","-0.47","0.00","0.11","0.3016","0.0000","0.2293"
"WEP","01 Aug 2018","46","101.58","100.99","0.10","-0.15","0.00","0.11","0.3016","0.0000","0.2293"
"WEP","01 Aug 2018","47","96.71","96.30","0.04","-0.28","0.00","0.11","0.3016","0.0000","0.2293"
"WEP","01 Aug 2018","48","94.96","94.50","0.04","-0.22","0.00","0.11","0.3016","0.0000","0.2293"
"WEP","02 Aug 2018","1","105.10","104.76","0.03","-0.33","0.00","0.11","0.3016","0.0000","0.2278"
"WEP","02 Aug 2018","2","103.17","102.78","0.02","-0.27","0.00","0.11","0.3016","0.0000","0.2278"
