"INFORMATION TYPE","DATE","PERIOD","WEP ($/MWh)","USEP ($/MWh)","AFP ($/MWh)","HEUR ($/MWh)","HLCU ($/MWh)","MEUC ($/MWh)","EMC Price Cap Fees ($/MWh)","EMC Price Adj Fees ($/MWh)","PSO Fees ($/MWh)"
"WEP","01 Dec 2017","1","88.23","87.37","0.53","-0.37","0.00","0.19","0.2450","0.0165","0.2430"
"WEP","01 Dec 2017","2","85.32","84.80","0.33","-0.51","0.00","0.19","0.2450","0.0165","0.2430"
"WEP","01 Dec 2017","3","84.36","83.75","0.33","-0.41","0.00","0.19","0.2450","0.0165","0.2430"
"WEP","01 Dec 2017","4","82.23","81.73","0.24","-0.44","0.00","0.19","0.2450","0.0165","0.2430"
"WEP","01 Dec 2017","5","82.03","81.28","0.24","-0.18","0.00","0.19","0.2450","0.0165","0.2430"
"WEP","01 Dec 2017","6","81.36","81.03","0.24","-0.61","0.00","0.19","0.2450","0.0165","0.2430"
"WEP","01 Dec 2017","7","78.60","78.13","0.23","-0.46","0.00","0.19","0.2450","0.0165","0.2430"
"WEP","01 Dec 2017","8","78.68","78.12","0.24","-0.38","0.00","0.19","0.2450","0.0165","0.2430"
"WEP","01 Dec 2017","9","78.77","78.11","0.23","-0.27","0.00","0.19","0.2450","0.0165","0.2430"
"WEP","01 Dec 2017","10","80.54","79.77","0.24","-0.16","0.00","0.19","0.2450","0.0165","0.2430"
"WEP","01 Dec 2017","11","81.63","81.02","0.24","-0.32","0.00","0.19","0.2450","0.0165","0.2430"
"WEP","01 Dec 2017","12","82.71","81.64","0.54","-0.17","0.00","0.19","0.2450","0.0165","0.2430"
"WEP","01 Dec 2017","13","86.41","85.77","0.31","-0.36","0.00","0.19","0.2450","0.0165","0.2430"
"WEP","01 Dec 2017","14","90.28","89.70","0.44","-0.55","0.00","0.19","0.2450","0.0165","0.2430"
"WEP","01 Dec 2017","15","81.81","81.31","0.46","-0.65","0.00","0.19","0.2450","0.0165","0.2430"
"WEP","01 Dec 2017","16","84.79","84.21","0.42","-0.53","0.00","0.19","0.2450","0.0165","0.2430"
"WEP","01 Dec 2017","17","89.08","88.89","0.46","-0.97","0.00","0.19","0.2450","0.0165","0.2430"
"WEP","01 Dec 2017","18","87.12","86.54","0.39","-0.50","0.00","0.19","0.2450","0.0165","0.2430"
"WEP","01 Dec 2017","19","90.97","90.82","0.24","-0.78","0.00","0.19","0.2450","0.0165","0.2430"
"WEP","01 Dec 2017","20","91.10","90.85","0.20","-0.64","0.00","0.19","0.2450","0.0165","0.2430"
"WEP","01 Dec 2017","21","93.80","93.71","0.19","-0.79","0.00","0.19","0.2450","0.0165","0.2430"
"WEP","01 Dec 2017","22","94.48","94.63","0.19","-1.04","0.00","0.19","0.2450","0.0165","0.2430"
"WEP","01 Dec 2017","23","93.57","93.72","0.16","-1.00","0.00","0.19","0.2450","0.0165","0.2430"
"WEP","01 Dec 2017","24","92.35","92.60","0.06","-1.01","0.00","0.19","0.2450","0.0165","0.2430"
"WEP","01 Dec 2017","25","90.07","90.39","0.16","-1.17","0.00","0.19","0.2450","0.0165","0.2430"
"WEP","01 Dec 2017","26","91.51","91.87","0.16","-1.22","0.00","0.19","0.2450","0.0165","0.2430"
"WEP","01 Dec 2017","27","92.03","92.61","0.06","-1.33","0.00","0.19","0.2450","0.0165","0.2430"
"WEP","01 Dec 2017","28","90.70","90.92","0.19","-1.10","0.00","0.19","0.2450","0.0165","0.2430"
"WEP","01 Dec 2017","29","91.35","91.59","0.31","-1.25","0.00","0.19","0.2450","0.0165","0.2430"
"WEP","01 Dec 2017","30","93.47","93.73","0.06","-1.01","0.00","0.19","0.2450","0.0165","0.2430"
"WEP","01 Dec 2017","31","93.99","94.64","0.06","-1.40","0.00","0.19","0.2450","0.0165","0.2430"
"WEP","01 Dec 2017","32","93.27","93.72","0.16","-1.30","0.00","0.19","0.2450","0.0165","0.2430"
"WEP","01 Dec 2017","33","95.13","95.75","0.16","-1.48","0.00","0.19","0.2450","0.0165","0.2430"
"WEP","01 Dec 2017","34","93.22","93.72","0.19","-1.39","0.00","0.19","0.2450","0.0165","0.2430"
"WEP","01 Dec 2017","35","91.60","91.88","0.19","-1.17","0.00","0.19","0.2450","0.0165","0.2430"
"WEP","01 Dec 2017","36","86.76","87.09","0.23","-1.26","0.00","0.19","0.2450","0.0165","0.2430"
"WEP","01 Dec 2017","37","86.84","86.87","0.24","-0.96","0.00","0.19","0.2450","0.0165","0.2430"
"WEP","01 Dec 2017","38","88.70","88.91","0.24","-1.14","0.00","0.19","0.2450","0.0165","0.2430"
"WEP","01 Dec 2017","39","89.59","89.83","0.24","-1.18","0.00","0.19","0.2450","0.0165","0.2430"
"WEP","01 Dec 2017","40","88.92","88.91","0.23","-0.91","0.00","0.19","0.2450","0.0165","0.2430"
"WEP","01 Dec 2017","41","88.96","88.91","0.21","-0.86","0.00","0.19","0.2450","0.0165","0.2430"
"WEP","01 Dec 2017","42","93.35","93.71","0.20","-1.25","0.00","0.19","0.2450","0.0165","0.2430"
"WEP","01 Dec 2017","43","92.47","92.45","0.18","-0.86","0.00","0.19","0.2450","0.0165","0.2430"
"WEP","01 Dec 2017","44","88.84","88.92","0.21","-0.98","0.00","0.19","0.2450","0.0165","0.2430"
"WEP","01 Dec 2017","45","86.67","86.31","0.22","-0.55","0.00","0.19","0.2450","0.0165","0.2430"
"WEP","01 Dec 2017","46","84.59","83.91","0.21","-0.22","0.00","0.19","0.2450","0.0165","0.2430"
"WEP","01 Dec 2017","47","82.19","81.80","0.05","-0.36","0.00","0.19","0.2450","0.0165","0.2430"
"WEP","01 Dec 2017","48","80.72","80.73","0.05","-0.76","0.00","0.19","0.2450","0.0165","0.2430"
"WEP","02 Dec 2017","1","88.06","87.56","0.26","-0.47","0.00","0.19","0.2450","0.0173","0.2554"
"WEP","02 Dec 2017","2","85.38","84.80","0.24","-0.37","0.00","0.19","0.2450","0.0173","0.2554"
"WEP","02 Dec 2017","3","82.08","81.29","0.24","-0.16","0.00","0.19","0.2450","0.0173","0.2554"
"WEP","02 Dec 2017","4","80.04","79.22","0.23","-0.12","0.00","0.19","0.2450","0.0173","0.2554"
"WEP","02 Dec 2017","5","77.85","77.17","0.19","-0.22","0.00","0.19","0.2450","0.0173","0.2554"
"WEP","02 Dec 2017","6","76.83","76.09","0.19","-0.15","0.00","0.19","0.2450","0.0173","0.2554"
"WEP","02 Dec 2017","7","75.75","75.08","0.18","-0.22","0.00","0.19","0.2450","0.0173","0.2554"
"WEP","02 Dec 2017","8","75.38","74.56","0.19","-0.08","0.00","0.19","0.2450","0.0173","0.2554"
"WEP","02 Dec 2017","9","75.35","74.58","0.18","-0.12","0.00","0.19","0.2450","0.0173","0.2554"
"WEP","02 Dec 2017","10","74.76","73.95","0.19","-0.09","0.00","0.19","0.2450","0.0173","0.2554"
"WEP","02 Dec 2017","11","75.19","74.57","0.19","-0.28","0.00","0.19","0.2450","0.0173","0.2554"
"WEP","02 Dec 2017","12","75.42","74.65","0.27","-0.20","0.00","0.19","0.2450","0.0173","0.2554"
"WEP","02 Dec 2017","13","76.69","76.09","0.26","-0.36","0.00","0.19","0.2450","0.0173","0.2554"
"WEP","02 Dec 2017","14","77.81","77.11","0.34","-0.35","0.00","0.19","0.2450","0.0173","0.2554"
"WEP","02 Dec 2017","15","75.81","75.09","0.37","-0.36","0.00","0.19","0.2450","0.0173","0.2554"
"WEP","02 Dec 2017","16","79.79","79.22","0.37","-0.51","0.00","0.19","0.2450","0.0173","0.2554"
"WEP","02 Dec 2017","17","86.06","85.69","0.38","-0.72","0.00","0.19","0.2450","0.0173","0.2554"
"WEP","02 Dec 2017","18","88.16","87.70","0.33","-0.58","0.00","0.19","0.2450","0.0173","0.2554"
"WEP","02 Dec 2017","19","90.63","90.45","0.33","-0.85","0.00","0.19","0.2450","0.0173","0.2554"
"WEP","02 Dec 2017","20","92.96","92.53","0.29","-0.57","0.00","0.19","0.2450","0.0173","0.2554"
"WEP","02 Dec 2017","21","94.52","94.59","0.27","-1.05","0.00","0.19","0.2450","0.0173","0.2554"
"WEP","02 Dec 2017","22","93.70","93.57","0.37","-0.95","0.00","0.19","0.2450","0.0173","0.2554"
"WEP","02 Dec 2017","23","93.04","92.84","0.36","-0.87","0.00","0.19","0.2450","0.0173","0.2554"
"WEP","02 Dec 2017","24","90.90","90.93","0.35","-1.09","0.00","0.19","0.2450","0.0173","0.2554"
"WEP","02 Dec 2017","25","91.35","91.04","0.36","-0.76","0.00","0.19","0.2450","0.0173","0.2554"
"WEP","02 Dec 2017","26","90.62","90.49","0.36","-0.94","0.00","0.19","0.2450","0.0173","0.2554"
"WEP","02 Dec 2017","27","90.83","90.49","0.35","-0.72","0.00","0.19","0.2450","0.0173","0.2554"
"WEP","02 Dec 2017","28","90.56","90.49","0.34","-0.98","0.00","0.19","0.2450","0.0173","0.2554"
"WEP","02 Dec 2017","29","87.40","87.20","0.37","-0.88","0.00","0.19","0.2450","0.0173","0.2554"
"WEP","02 Dec 2017","30","87.39","87.44","0.34","-1.10","0.00","0.19","0.2450","0.0173","0.2554"
"WEP","02 Dec 2017","31","87.63","87.47","0.34","-0.89","0.00","0.19","0.2450","0.0173","0.2554"
"WEP","02 Dec 2017","32","87.72","87.56","0.36","-0.90","0.00","0.19","0.2450","0.0173","0.2554"
"WEP","02 Dec 2017","33","87.00","87.15","0.37","-1.23","0.00","0.19","0.2450","0.0173","0.2554"
"WEP","02 Dec 2017","34","86.81","86.85","0.39","-1.14","0.00","0.19","0.2450","0.0173","0.2554"
"WEP","02 Dec 2017","35","87.79","87.84","0.40","-1.16","0.00","0.19","0.2450","0.0173","0.2554"
"WEP","02 Dec 2017","36","87.00","86.85","0.47","-1.03","0.00","0.19","0.2450","0.0173","0.2554"
"WEP","02 Dec 2017","37","87.96","87.81","0.45","-1.01","0.00","0.19","0.2450","0.0173","0.2554"
"WEP","02 Dec 2017","38","90.73","90.91","0.45","-1.33","0.00","0.19","0.2450","0.0173","0.2554"
"WEP","02 Dec 2017","39","91.58","91.63","0.44","-1.20","0.00","0.19","0.2450","0.0173","0.2554"
"WEP","02 Dec 2017","40","91.64","91.65","0.42","-1.14","0.00","0.19","0.2450","0.0173","0.2554"
"WEP","02 Dec 2017","41","90.78","90.96","0.38","-1.26","0.00","0.19","0.2450","0.0173","0.2554"
"WEP","02 Dec 2017","42","91.53","91.66","0.40","-1.24","0.00","0.19","0.2450","0.0173","0.2554"
"WEP","02 Dec 2017","43","91.92","91.95","0.38","-1.11","0.00","0.19","0.2450","0.0173","0.2554"
"WEP","02 Dec 2017","44","88.86","88.94","0.40","-1.19","0.00","0.19","0.2450","0.0173","0.2554"
"WEP","02 Dec 2017","45","85.11","84.85","0.41","-0.85","0.00","0.19","0.2450","0.0173","0.2554"
"WEP","02 Dec 2017","46","81.01","80.81","0.40","-0.91","0.00","0.19","0.2450","0.0173","0.2554"
"WEP","02 Dec 2017","47","81.00","80.67","0.39","-0.77","0.00","0.19","0.2450","0.0173","0.2554"
"WEP","02 Dec 2017","48","89.86","89.52","0.14","-0.51","0.00","0.19","0.2450","0.0173","0.2554"
"WEP","03 Dec 2017","1","94.50","93.73","0.03","0.03","0.00","0.19","0.2450","0.0179","0.2632"
"WEP","03 Dec 2017","2","92.40","91.94","0.01","-0.26","0.00","0.19","0.2450","0.0179","0.2632"
"WEP","03 Dec 2017","3","86.44","85.79","0.01","-0.08","0.00","0.19","0.2450","0.0179","0.2632"
