"INFORMATION TYPE","DATE","PERIOD","WEP ($/MWh)","USEP ($/MWh)","AFP ($/MWh)","HEUR ($/MWh)","HLCU ($/MWh)","MEUC ($/MWh)","EMC Price Cap Fees ($/MWh)","EMC Price Adj Fees ($/MWh)","PSO Fees ($/MWh)"
"WEP","01 Feb 2018","1","96.06","95.11","0.39","-0.21","0.00","0.24","0.2450","0.0183","0.2695"
"WEP","01 Feb 2018","2","89.68","88.82","0.27","-0.19","0.00","0.24","0.2450","0.0183","0.2695"
"WEP","01 Feb 2018","3","87.15","86.71","0.23","-0.56","0.00","0.24","0.2450","0.0183","0.2695"
"WEP","01 Feb 2018","4","87.16","86.70","0.23","-0.54","0.00","0.24","0.2450","0.0183","0.2695"
"WEP","01 Feb 2018","5","85.58","85.11","0.27","-0.57","0.00","0.24","0.2450","0.0183","0.2695"
"WEP","01 Feb 2018","6","82.03","81.57","0.27","-0.58","0.00","0.24","0.2450","0.0183","0.2695"
"WEP","01 Feb 2018","7","80.70","80.41","0.23","-0.71","0.00","0.24","0.2450","0.0183","0.2695"
"WEP","01 Feb 2018","8","80.35","80.12","0.23","-0.77","0.00","0.24","0.2450","0.0183","0.2695"
"WEP","01 Feb 2018","9","80.43","80.12","0.23","-0.69","0.00","0.24","0.2450","0.0183","0.2695"
"WEP","01 Feb 2018","10","80.78","80.41","0.21","-0.61","0.00","0.24","0.2450","0.0183","0.2695"
"WEP","01 Feb 2018","11","83.89","83.62","0.24","-0.74","0.00","0.24","0.2450","0.0183","0.2695"
"WEP","01 Feb 2018","12","89.21","88.68","0.21","-0.45","0.00","0.24","0.2450","0.0183","0.2695"
"WEP","01 Feb 2018","13","93.04","92.97","0.28","-0.98","0.00","0.24","0.2450","0.0183","0.2695"
"WEP","01 Feb 2018","14","90.74","90.76","0.28","-1.07","0.00","0.24","0.2450","0.0183","0.2695"
"WEP","01 Feb 2018","15","87.80","87.60","0.33","-0.90","0.00","0.24","0.2450","0.0183","0.2695"
"WEP","01 Feb 2018","16","96.93","96.85","0.42","-1.11","0.00","0.24","0.2450","0.0183","0.2695"
"WEP","01 Feb 2018","17","99.46","99.45","0.42","-1.18","0.00","0.24","0.2450","0.0183","0.2695"
"WEP","01 Feb 2018","18","102.91","101.76","0.94","-0.57","0.00","0.24","0.2450","0.0183","0.2695"
"WEP","01 Feb 2018","19","103.22","102.71","0.75","-1.01","0.00","0.24","0.2450","0.0183","0.2695"
"WEP","01 Feb 2018","20","101.56","101.35","0.66","-1.22","0.00","0.24","0.2450","0.0183","0.2695"
"WEP","01 Feb 2018","21","102.54","102.83","0.28","-1.34","0.00","0.24","0.2450","0.0183","0.2695"
"WEP","01 Feb 2018","22","109.84","110.10","0.24","-1.27","0.00","0.24","0.2450","0.0183","0.2695"
"WEP","01 Feb 2018","23","109.88","110.11","0.24","-1.24","0.00","0.24","0.2450","0.0183","0.2695"
"WEP","01 Feb 2018","24","151.84","152.72","0.26","-1.92","0.00","0.24","0.2450","0.0183","0.2695"
"WEP","01 Feb 2018","25","144.42","145.73","0.26","-2.34","0.00","0.24","0.2450","0.0183","0.2695"
"WEP","01 Feb 2018","26","151.53","152.73","0.26","-2.24","0.00","0.24","0.2450","0.0183","0.2695"
"WEP","01 Feb 2018","27","165.71","167.68","0.27","-3.01","0.00","0.24","0.2450","0.0183","0.2695"
"WEP","01 Feb 2018","28","151.54","152.73","0.26","-2.22","0.00","0.24","0.2450","0.0183","0.2695"
"WEP","01 Feb 2018","29","151.67","152.74","0.26","-2.10","0.00","0.24","0.2450","0.0183","0.2695"
"WEP","01 Feb 2018","30","143.57","144.27","0.20","-1.67","0.00","0.24","0.2450","0.0183","0.2695"
"WEP","01 Feb 2018","31","131.97","132.38","0.20","-1.38","0.00","0.24","0.2450","0.0183","0.2695"
"WEP","01 Feb 2018","32","99.27","99.61","0.17","-1.28","0.00","0.24","0.2450","0.0183","0.2695"
"WEP","01 Feb 2018","33","298.18","301.50","0.55","-4.65","0.00","0.24","0.2450","0.0183","0.2695"
"WEP","01 Feb 2018","34","153.85","155.42","0.38","-2.73","0.00","0.24","0.2450","0.0183","0.2695"
"WEP","01 Feb 2018","35","98.66","99.61","0.23","-1.95","0.00","0.24","0.2450","0.0183","0.2695"
"WEP","01 Feb 2018","36","97.47","98.05","0.32","-1.67","0.00","0.24","0.2450","0.0183","0.2695"
"WEP","01 Feb 2018","37","94.82","95.27","0.32","-1.55","0.00","0.24","0.2450","0.0183","0.2695"
"WEP","01 Feb 2018","38","95.01","95.22","0.29","-1.27","0.00","0.24","0.2450","0.0183","0.2695"
"WEP","01 Feb 2018","39","97.63","97.24","0.29","-0.67","0.00","0.24","0.2450","0.0183","0.2695"
"WEP","01 Feb 2018","40","97.58","97.24","0.27","-0.70","0.00","0.24","0.2450","0.0183","0.2695"
"WEP","01 Feb 2018","41","98.66","98.82","0.29","-1.23","0.00","0.24","0.2450","0.0183","0.2695"
"WEP","01 Feb 2018","42","102.44","102.95","0.42","-1.70","0.00","0.24","0.2450","0.0183","0.2695"
"WEP","01 Feb 2018","43","99.18","99.54","0.38","-1.51","0.00","0.24","0.2450","0.0183","0.2695"
"WEP","01 Feb 2018","44","95.88","96.39","0.32","-1.61","0.00","0.24","0.2450","0.0183","0.2695"
"WEP","01 Feb 2018","45","91.60","91.77","0.25","-1.19","0.00","0.24","0.2450","0.0183","0.2695"
"WEP","01 Feb 2018","46","89.08","88.85","0.20","-0.74","0.00","0.24","0.2450","0.0183","0.2695"
"WEP","01 Feb 2018","47","81.77","81.22","0.21","-0.43","0.00","0.24","0.2450","0.0183","0.2695"
"WEP","01 Feb 2018","48","80.57","80.18","0.06","-0.45","0.00","0.24","0.2450","0.0183","0.2695"
