"INFORMATION TYPE","DATE","PERIOD","WEP ($/MWh)","USEP ($/MWh)","AFP ($/MWh)","HEUR ($/MWh)","HLCU ($/MWh)","MEUC ($/MWh)","EMC Price Cap Fees ($/MWh)","EMC Price Adj Fees ($/MWh)","PSO Fees ($/MWh)"
"WEP","01 Jan 2018","1","86.60","85.43","0.16","0.24","0.00","0.22","0.2450","0.0198","0.2908"
"WEP","01 Jan 2018","2","84.78","83.45","0.26","0.29","0.00","0.22","0.2450","0.0198","0.2908"
"WEP","01 Jan 2018","3","81.36","80.56","0.26","-0.24","0.00","0.22","0.2450","0.0198","0.2908"
"WEP","01 Jan 2018","4","81.32","80.56","0.25","-0.27","0.00","0.22","0.2450","0.0198","0.2908"
"WEP","01 Jan 2018","5","81.58","80.55","0.20","0.05","0.00","0.22","0.2450","0.0198","0.2908"
"WEP","01 Jan 2018","6","81.31","80.03","0.21","0.29","0.00","0.22","0.2450","0.0198","0.2908"
"WEP","01 Jan 2018","7","79.82","78.20","0.20","0.65","0.00","0.22","0.2450","0.0198","0.2908"
"WEP","01 Jan 2018","8","79.38","77.91","0.21","0.48","0.00","0.22","0.2450","0.0198","0.2908"
"WEP","01 Jan 2018","9","78.26","76.86","0.20","0.43","0.00","0.22","0.2450","0.0198","0.2908"
"WEP","01 Jan 2018","10","77.79","76.48","0.17","0.36","0.00","0.22","0.2450","0.0198","0.2908"
"WEP","01 Jan 2018","11","78.31","76.86","0.17","0.51","0.00","0.22","0.2450","0.0198","0.2908"
"WEP","01 Jan 2018","12","78.19","76.90","0.24","0.28","0.00","0.22","0.2450","0.0198","0.2908"
"WEP","01 Jan 2018","13","77.70","76.51","0.28","0.13","0.00","0.22","0.2450","0.0198","0.2908"
"WEP","01 Jan 2018","14","77.58","76.51","0.37","-0.08","0.00","0.22","0.2450","0.0198","0.2908"
"WEP","01 Jan 2018","15","76.00","74.83","0.54","-0.14","0.00","0.22","0.2450","0.0198","0.2908"
"WEP","01 Jan 2018","16","79.05","77.96","0.57","-0.25","0.00","0.22","0.2450","0.0198","0.2908"
"WEP","01 Jan 2018","17","80.07","78.65","0.76","-0.12","0.00","0.22","0.2450","0.0198","0.2908"
"WEP","01 Jan 2018","18","82.04","80.68","0.53","0.05","0.00","0.22","0.2450","0.0198","0.2908"
"WEP","01 Jan 2018","19","85.74","84.37","0.51","0.08","0.00","0.22","0.2450","0.0198","0.2908"
"WEP","01 Jan 2018","20","86.97","85.89","0.34","-0.04","0.00","0.22","0.2450","0.0198","0.2908"
"WEP","01 Jan 2018","21","87.79","86.84","0.32","-0.14","0.00","0.22","0.2450","0.0198","0.2908"
"WEP","01 Jan 2018","22","82.06","81.17","0.25","-0.13","0.00","0.22","0.2450","0.0198","0.2908"
"WEP","01 Jan 2018","23","82.05","81.18","0.24","-0.15","0.00","0.22","0.2450","0.0198","0.2908"
"WEP","01 Jan 2018","24","82.12","81.17","0.24","-0.06","0.00","0.22","0.2450","0.0198","0.2908"
"WEP","01 Jan 2018","25","81.63","80.70","0.24","-0.09","0.00","0.22","0.2450","0.0198","0.2908"
"WEP","01 Jan 2018","26","82.18","81.18","0.24","-0.02","0.00","0.22","0.2450","0.0198","0.2908"
"WEP","01 Jan 2018","27","82.19","81.18","0.24","-0.01","0.00","0.22","0.2450","0.0198","0.2908"
"WEP","01 Jan 2018","28","80.29","79.15","0.24","0.13","0.00","0.22","0.2450","0.0198","0.2908"
"WEP","01 Jan 2018","29","80.37","79.14","0.25","0.20","0.00","0.22","0.2450","0.0198","0.2908"
"WEP","01 Jan 2018","30","80.12","79.14","0.20","0.00","0.00","0.22","0.2450","0.0198","0.2908"
"WEP","01 Jan 2018","31","80.01","79.14","0.20","-0.10","0.00","0.22","0.2450","0.0198","0.2908"
"WEP","01 Jan 2018","32","80.13","79.14","0.24","-0.03","0.00","0.22","0.2450","0.0198","0.2908"
"WEP","01 Jan 2018","33","80.04","79.14","0.24","-0.11","0.00","0.22","0.2450","0.0198","0.2908"
"WEP","01 Jan 2018","34","79.47","78.67","0.33","-0.30","0.00","0.22","0.2450","0.0198","0.2908"
"WEP","01 Jan 2018","35","79.59","78.68","0.33","-0.20","0.00","0.22","0.2450","0.0198","0.2908"
"WEP","01 Jan 2018","36","79.56","78.67","0.47","-0.36","0.00","0.22","0.2450","0.0198","0.2908"
"WEP","01 Jan 2018","37","82.26","81.18","0.50","-0.19","0.00","0.22","0.2450","0.0198","0.2908"
"WEP","01 Jan 2018","38","86.65","85.93","0.48","-0.53","0.00","0.22","0.2450","0.0198","0.2908"
"WEP","01 Jan 2018","39","89.70","88.76","0.46","-0.30","0.00","0.22","0.2450","0.0198","0.2908"
"WEP","01 Jan 2018","40","91.72","90.82","0.44","-0.31","0.00","0.22","0.2450","0.0198","0.2908"
"WEP","01 Jan 2018","41","93.36","92.36","0.32","-0.09","0.00","0.22","0.2450","0.0198","0.2908"
"WEP","01 Jan 2018","42","93.26","92.49","0.31","-0.32","0.00","0.22","0.2450","0.0198","0.2908"
"WEP","01 Jan 2018","43","91.55","90.81","0.30","-0.34","0.00","0.22","0.2450","0.0198","0.2908"
"WEP","01 Jan 2018","44","89.61","88.76","0.32","-0.25","0.00","0.22","0.2450","0.0198","0.2908"
"WEP","01 Jan 2018","45","83.68","82.70","0.33","-0.13","0.00","0.22","0.2450","0.0198","0.2908"
"WEP","01 Jan 2018","46","81.91","80.71","0.33","0.10","0.00","0.22","0.2450","0.0198","0.2908"
"WEP","01 Jan 2018","47","88.87","87.74","0.45","-0.09","0.00","0.22","0.2450","0.0198","0.2908"
"WEP","01 Jan 2018","48","97.80","96.57","0.44","0.01","0.00","0.22","0.2450","0.0198","0.2908"
"WEP","02 Jan 2018","1","87.81","86.46","0.39","0.21","0.00","0.22","0.2450","0.0176","0.2597"
"WEP","02 Jan 2018","2","86.81","85.84","0.27","-0.04","0.00","0.22","0.2450","0.0176","0.2597"
"WEP","02 Jan 2018","3","83.41","82.26","0.27","0.14","0.00","0.22","0.2450","0.0176","0.2597"
"WEP","02 Jan 2018","4","82.47","81.47","0.26","0.00","0.00","0.22","0.2450","0.0176","0.2597"
"WEP","02 Jan 2018","5","80.18","79.07","0.21","0.16","0.00","0.22","0.2450","0.0176","0.2597"
"WEP","02 Jan 2018","6","79.66","78.50","0.26","0.16","0.00","0.22","0.2450","0.0176","0.2597"
"WEP","02 Jan 2018","7","79.63","78.51","0.21","0.17","0.00","0.22","0.2450","0.0176","0.2597"
"WEP","02 Jan 2018","8","79.32","77.94","0.21","0.43","0.00","0.22","0.2450","0.0176","0.2597"
"WEP","02 Jan 2018","9","79.24","77.96","0.20","0.34","0.00","0.22","0.2450","0.0176","0.2597"
"WEP","02 Jan 2018","10","78.38","77.23","0.17","0.24","0.00","0.22","0.2450","0.0176","0.2597"
"WEP","02 Jan 2018","11","78.81","77.98","0.17","-0.09","0.00","0.22","0.2450","0.0176","0.2597"
"WEP","02 Jan 2018","12","77.98","77.07","0.19","-0.02","0.00","0.22","0.2450","0.0176","0.2597"
"WEP","02 Jan 2018","13","79.40","78.59","0.65","-0.58","0.00","0.22","0.2450","0.0176","0.2597"
