"INFORMATION TYPE","DATE","PERIOD","WEP ($/MWh)","USEP ($/MWh)","AFP ($/MWh)","HEUR ($/MWh)","HLCU ($/MWh)","MEUC ($/MWh)","EMC Price Cap Fees ($/MWh)","EMC Price Adj Fees ($/MWh)","PSO Fees ($/MWh)"
"WEP","01 Jul 2018","1","93.57","93.04","0.12","-0.39","0.00","0.19","0.3016","0.0000","0.3153"
"WEP","01 Jul 2018","2","90.60","89.90","0.02","-0.12","0.00","0.19","0.3016","0.0000","0.3153"
"WEP","01 Jul 2018","3","88.80","88.35","0.02","-0.38","0.00","0.19","0.3016","0.0000","0.3153"
"WEP","01 Jul 2018","4","91.12","90.23","0.02","0.06","0.00","0.19","0.3016","0.0000","0.3153"
"WEP","01 Jul 2018","5","91.56","90.77","0.02","-0.04","0.00","0.19","0.3016","0.0000","0.3153"
"WEP","01 Jul 2018","6","90.58","89.87","0.02","-0.11","0.00","0.19","0.3016","0.0000","0.3153"
"WEP","01 Jul 2018","7","89.01","88.16","0.02","0.03","0.00","0.19","0.3016","0.0000","0.3153"
"WEP","01 Jul 2018","8","88.47","87.65","0.02","-0.01","0.00","0.19","0.3016","0.0000","0.3153"
"WEP","01 Jul 2018","9","86.61","85.83","0.02","-0.05","0.00","0.19","0.3016","0.0000","0.3153"
"WEP","01 Jul 2018","10","86.62","85.93","0.02","-0.13","0.00","0.19","0.3016","0.0000","0.3153"
"WEP","01 Jul 2018","11","88.40","87.62","0.02","-0.05","0.00","0.19","0.3016","0.0000","0.3153"
"WEP","01 Jul 2018","12","88.49","87.84","0.21","-0.37","0.00","0.19","0.3016","0.0000","0.3153"
"WEP","01 Jul 2018","13","88.22","87.75","0.33","-0.67","0.00","0.19","0.3016","0.0000","0.3153"
"WEP","01 Jul 2018","14","88.31","87.66","0.33","-0.49","0.00","0.19","0.3016","0.0000","0.3153"
"WEP","01 Jul 2018","15","88.09","87.10","0.55","-0.36","0.00","0.19","0.3016","0.0000","0.3153"
