"INFORMATION TYPE","DATE","PERIOD","WEP ($/MWh)","USEP ($/MWh)","AFP ($/MWh)","HEUR ($/MWh)","HLCU ($/MWh)","MEUC ($/MWh)","EMC Price Cap Fees ($/MWh)","EMC Price Adj Fees ($/MWh)","PSO Fees ($/MWh)"
"WEP","01 Jun 2018","1","106.98","106.67","0.09","-0.57","0.00","0.20","0.3016","0.0000","0.2862"
"WEP","01 Jun 2018","2","103.18","102.52","0.26","-0.39","0.00","0.20","0.3016","0.0000","0.2862"
"WEP","01 Jun 2018","3","100.35","99.64","0.25","-0.33","0.00","0.20","0.3016","0.0000","0.2862"
"WEP","01 Jun 2018","4","98.34","98.02","0.21","-0.68","0.00","0.20","0.3016","0.0000","0.2862"
"WEP","01 Jun 2018","5","99.86","99.62","0.26","-0.81","0.00","0.20","0.3016","0.0000","0.2862"
"WEP","01 Jun 2018","6","99.51","99.18","0.25","-0.71","0.00","0.20","0.3016","0.0000","0.2862"
"WEP","01 Jun 2018","7","99.24","98.78","0.21","-0.54","0.00","0.20","0.3016","0.0000","0.2862"
"WEP","01 Jun 2018","8","99.35","98.67","0.21","-0.32","0.00","0.20","0.3016","0.0000","0.2862"
"WEP","01 Jun 2018","9","97.11","95.80","0.25","0.27","0.00","0.20","0.3016","0.0000","0.2862"
"WEP","01 Jun 2018","10","96.67","95.50","0.21","0.17","0.00","0.20","0.3016","0.0000","0.2862"
"WEP","01 Jun 2018","11","99.60","98.62","0.21","-0.02","0.00","0.20","0.3016","0.0000","0.2862"
"WEP","01 Jun 2018","12","97.60","96.50","0.41","-0.10","0.00","0.20","0.3016","0.0000","0.2862"
"WEP","01 Jun 2018","13","100.64","100.03","0.29","-0.47","0.00","0.20","0.3016","0.0000","0.2862"
"WEP","01 Jun 2018","14","98.73","98.56","0.14","-0.76","0.00","0.20","0.3016","0.0000","0.2862"
"WEP","01 Jun 2018","15","94.63","94.98","0.31","-1.44","0.00","0.20","0.3016","0.0000","0.2862"
"WEP","01 Jun 2018","16","99.40","99.64","0.28","-1.31","0.00","0.20","0.3016","0.0000","0.2862"
"WEP","01 Jun 2018","17","103.48","103.56","0.32","-1.19","0.00","0.20","0.3016","0.0000","0.2862"
"WEP","01 Jun 2018","18","106.70","106.68","0.37","-1.13","0.00","0.20","0.3016","0.0000","0.2862"
"WEP","01 Jun 2018","19","105.86","105.72","0.32","-0.96","0.00","0.20","0.3016","0.0000","0.2862"
"WEP","01 Jun 2018","20","102.89","102.96","0.24","-1.10","0.00","0.20","0.3016","0.0000","0.2862"
"WEP","01 Jun 2018","21","104.68","104.98","0.25","-1.33","0.00","0.20","0.3016","0.0000","0.2862"
"WEP","01 Jun 2018","22","106.25","106.66","0.23","-1.43","0.00","0.20","0.3016","0.0000","0.2862"
"WEP","01 Jun 2018","23","105.51","105.98","0.22","-1.48","0.00","0.20","0.3016","0.0000","0.2862"
"WEP","01 Jun 2018","24","101.95","102.68","0.18","-1.70","0.00","0.20","0.3016","0.0000","0.2862"
"WEP","01 Jun 2018","25","102.07","102.66","0.19","-1.57","0.00","0.20","0.3016","0.0000","0.2862"
"WEP","01 Jun 2018","26","102.91","103.63","0.20","-1.71","0.00","0.20","0.3016","0.0000","0.2862"
"WEP","01 Jun 2018","27","104.38","104.97","0.21","-1.59","0.00","0.20","0.3016","0.0000","0.2862"
"WEP","01 Jun 2018","28","110.49","110.96","0.25","-1.51","0.00","0.20","0.3016","0.0000","0.2862"
"WEP","01 Jun 2018","29","110.79","110.96","0.25","-1.21","0.00","0.20","0.3016","0.0000","0.2862"
"WEP","01 Jun 2018","30","110.53","110.95","0.23","-1.43","0.00","0.20","0.3016","0.0000","0.2862"
"WEP","01 Jun 2018","31","110.81","110.96","0.23","-1.16","0.00","0.20","0.3016","0.0000","0.2862"
"WEP","01 Jun 2018","32","108.19","108.67","0.21","-1.48","0.00","0.20","0.3016","0.0000","0.2862"
"WEP","01 Jun 2018","33","107.40","107.76","0.26","-1.41","0.00","0.20","0.3016","0.0000","0.2862"
"WEP","01 Jun 2018","34","106.32","106.67","0.27","-1.41","0.00","0.20","0.3016","0.0000","0.2862"
"WEP","01 Jun 2018","35","103.03","103.48","0.25","-1.49","0.00","0.20","0.3016","0.0000","0.2862"
"WEP","01 Jun 2018","36","98.43","98.94","0.32","-1.61","0.00","0.20","0.3016","0.0000","0.2862"
"WEP","01 Jun 2018","37","98.26","98.43","0.26","-1.22","0.00","0.20","0.3016","0.0000","0.2862"
"WEP","01 Jun 2018","38","98.38","98.62","0.27","-1.30","0.00","0.20","0.3016","0.0000","0.2862"
"WEP","01 Jun 2018","39","98.83","98.97","0.27","-1.20","0.00","0.20","0.3016","0.0000","0.2862"
"WEP","01 Jun 2018","40","99.17","99.39","0.20","-1.21","0.00","0.20","0.3016","0.0000","0.2862"
"WEP","01 Jun 2018","41","98.44","98.28","0.20","-0.82","0.00","0.20","0.3016","0.0000","0.2862"
"WEP","01 Jun 2018","42","101.70","101.89","0.20","-1.18","0.00","0.20","0.3016","0.0000","0.2862"
"WEP","01 Jun 2018","43","98.98","98.86","0.20","-0.87","0.00","0.20","0.3016","0.0000","0.2862"
"WEP","01 Jun 2018","44","98.03","98.30","0.20","-1.26","0.00","0.20","0.3016","0.0000","0.2862"
"WEP","01 Jun 2018","45","99.40","99.58","0.21","-1.18","0.00","0.20","0.3016","0.0000","0.2862"
"WEP","01 Jun 2018","46","99.56","99.36","0.21","-0.80","0.00","0.20","0.3016","0.0000","0.2862"
"WEP","01 Jun 2018","47","99.77","99.68","0.26","-0.96","0.00","0.20","0.3016","0.0000","0.2862"
"WEP","01 Jun 2018","48","104.21","103.81","0.34","-0.73","0.00","0.20","0.3016","0.0000","0.2862"
"WEP","02 Jun 2018","1","113.19","112.74","0.23","-0.59","0.00","0.20","0.3016","0.0000","0.3088"
"WEP","02 Jun 2018","2","108.26","107.44","0.10","-0.09","0.00","0.20","0.3016","0.0000","0.3088"
"WEP","02 Jun 2018","3","103.28","102.53","0.08","-0.14","0.00","0.20","0.3016","0.0000","0.3088"
"WEP","02 Jun 2018","4","99.66","98.97","0.04","-0.16","0.00","0.20","0.3016","0.0000","0.3088"
"WEP","02 Jun 2018","5","99.89","98.95","0.04","0.09","0.00","0.20","0.3016","0.0000","0.3088"
"WEP","02 Jun 2018","6","99.30","98.41","0.03","0.04","0.00","0.20","0.3016","0.0000","0.3088"
"WEP","02 Jun 2018","7","95.83","94.72","0.20","0.10","0.00","0.20","0.3016","0.0000","0.3088"
"WEP","02 Jun 2018","8","96.27","94.71","0.20","0.55","0.00","0.20","0.3016","0.0000","0.3088"
"WEP","02 Jun 2018","9","96.83","95.55","0.03","0.44","0.00","0.20","0.3016","0.0000","0.3088"
"WEP","02 Jun 2018","10","95.71","94.66","0.03","0.21","0.00","0.20","0.3016","0.0000","0.3088"
"WEP","02 Jun 2018","11","95.29","94.69","0.03","-0.24","0.00","0.20","0.3016","0.0000","0.3088"
"WEP","02 Jun 2018","12","99.32","97.93","0.25","0.33","0.00","0.20","0.3016","0.0000","0.3088"
"WEP","02 Jun 2018","13","99.60","97.94","0.38","0.47","0.00","0.20","0.3016","0.0000","0.3088"
"WEP","02 Jun 2018","14","97.85","96.19","0.39","0.46","0.00","0.20","0.3016","0.0000","0.3088"
"WEP","02 Jun 2018","15","96.13","94.80","0.53","-0.01","0.00","0.20","0.3016","0.0000","0.3088"
"WEP","02 Jun 2018","16","103.76","102.55","0.52","-0.12","0.00","0.20","0.3016","0.0000","0.3088"
"WEP","02 Jun 2018","17","113.64","112.74","0.51","-0.42","0.00","0.20","0.3016","0.0000","0.3088"
"WEP","02 Jun 2018","18","105.66","104.66","0.50","-0.31","0.00","0.20","0.3016","0.0000","0.3088"
"WEP","02 Jun 2018","19","108.36","107.61","0.37","-0.43","0.00","0.20","0.3016","0.0000","0.3088"
"WEP","02 Jun 2018","20","113.20","112.69","0.35","-0.65","0.00","0.20","0.3016","0.0000","0.3088"
"WEP","02 Jun 2018","21","113.30","112.78","0.33","-0.62","0.00","0.20","0.3016","0.0000","0.3088"
"WEP","02 Jun 2018","22","113.05","112.76","0.31","-0.83","0.00","0.20","0.3016","0.0000","0.3088"
"WEP","02 Jun 2018","23","112.91","112.37","0.39","-0.66","0.00","0.20","0.3016","0.0000","0.3088"
"WEP","02 Jun 2018","24","105.17","104.93","0.30","-0.87","0.00","0.20","0.3016","0.0000","0.3088"
"WEP","02 Jun 2018","25","102.89","102.60","0.19","-0.71","0.00","0.20","0.3016","0.0000","0.3088"
"WEP","02 Jun 2018","26","102.34","102.11","0.19","-0.77","0.00","0.20","0.3016","0.0000","0.3088"
"WEP","02 Jun 2018","27","102.18","101.90","0.04","-0.57","0.00","0.20","0.3016","0.0000","0.3088"
"WEP","02 Jun 2018","28","102.34","102.04","0.15","-0.66","0.00","0.20","0.3016","0.0000","0.3088"
"WEP","02 Jun 2018","29","102.41","101.90","0.15","-0.45","0.00","0.20","0.3016","0.0000","0.3088"
"WEP","02 Jun 2018","30","99.14","98.85","0.04","-0.56","0.00","0.20","0.3016","0.0000","0.3088"
"WEP","02 Jun 2018","31","101.92","101.91","0.15","-0.95","0.00","0.20","0.3016","0.0000","0.3088"
"WEP","02 Jun 2018","32","101.75","101.92","0.04","-1.02","0.00","0.20","0.3016","0.0000","0.3088"
"WEP","02 Jun 2018","33","101.73","101.91","0.15","-1.14","0.00","0.20","0.3016","0.0000","0.3088"
"WEP","02 Jun 2018","34","98.46","98.80","0.04","-1.19","0.00","0.20","0.3016","0.0000","0.3088"
"WEP","02 Jun 2018","35","98.28","98.65","0.17","-1.35","0.00","0.20","0.3016","0.0000","0.3088"
"WEP","02 Jun 2018","36","98.41","98.68","0.24","-1.32","0.00","0.20","0.3016","0.0000","0.3088"
"WEP","02 Jun 2018","37","103.07","103.47","0.46","-1.67","0.00","0.20","0.3016","0.0000","0.3088"
"WEP","02 Jun 2018","38","107.10","107.48","0.36","-1.55","0.00","0.20","0.3016","0.0000","0.3088"
"WEP","02 Jun 2018","39","112.99","112.77","0.45","-1.04","0.00","0.20","0.3016","0.0000","0.3088"
"WEP","02 Jun 2018","40","112.82","112.88","0.42","-1.29","0.00","0.20","0.3016","0.0000","0.3088"
"WEP","02 Jun 2018","41","115.76","114.91","0.42","-0.38","0.00","0.20","0.3016","0.0000","0.3088"
"WEP","02 Jun 2018","42","115.35","114.91","0.42","-0.79","0.00","0.20","0.3016","0.0000","0.3088"
"WEP","02 Jun 2018","43","113.40","112.77","0.42","-0.60","0.00","0.20","0.3016","0.0000","0.3088"
"WEP","02 Jun 2018","44","112.95","112.77","0.31","-0.94","0.00","0.20","0.3016","0.0000","0.3088"
"WEP","02 Jun 2018","45","115.95","114.84","0.43","-0.13","0.00","0.20","0.3016","0.0000","0.3088"
"WEP","02 Jun 2018","46","118.54","116.93","1.01","-0.21","0.00","0.20","0.3016","0.0000","0.3088"
"WEP","02 Jun 2018","47","114.55","112.72","1.02","0.00","0.00","0.20","0.3016","0.0000","0.3088"
"WEP","02 Jun 2018","48","111.12","110.26","0.25","-0.20","0.00","0.20","0.3016","0.0000","0.3088"
"WEP","03 Jun 2018","1","102.46","101.65","0.23","-0.24","0.00","0.20","0.3016","0.0000","0.3152"
"WEP","03 Jun 2018","2","98.73","98.00","0.05","-0.14","0.00","0.20","0.3016","0.0000","0.3152"
"WEP","03 Jun 2018","3","98.95","97.78","0.32","0.03","0.00","0.20","0.3016","0.0000","0.3152"
"WEP","03 Jun 2018","4","97.32","96.07","0.32","0.11","0.00","0.20","0.3016","0.0000","0.3152"
"WEP","03 Jun 2018","5","89.72","88.56","0.36","-0.01","0.00","0.20","0.3016","0.0000","0.3152"
"WEP","03 Jun 2018","6","89.50","88.27","0.33","0.08","0.00","0.20","0.3016","0.0000","0.3152"
"WEP","03 Jun 2018","7","87.25","86.21","0.32","-0.10","0.00","0.20","0.3016","0.0000","0.3152"
"WEP","03 Jun 2018","8","87.31","86.09","0.32","0.08","0.00","0.20","0.3016","0.0000","0.3152"
"WEP","03 Jun 2018","9","86.94","85.72","0.32","0.08","0.00","0.20","0.3016","0.0000","0.3152"
"WEP","03 Jun 2018","10","86.94","85.72","0.32","0.08","0.00","0.20","0.3016","0.0000","0.3152"
"WEP","03 Jun 2018","11","87.10","86.10","0.33","-0.15","0.00","0.20","0.3016","0.0000","0.3152"
"WEP","03 Jun 2018","12","86.83","85.72","0.39","-0.10","0.00","0.20","0.3016","0.0000","0.3152"
"WEP","03 Jun 2018","13","84.44","83.29","0.48","-0.14","0.00","0.20","0.3016","0.0000","0.3152"
"WEP","03 Jun 2018","14","84.65","83.90","0.46","-0.53","0.00","0.20","0.3016","0.0000","0.3152"
"WEP","03 Jun 2018","15","84.91","83.89","0.54","-0.34","0.00","0.20","0.3016","0.0000","0.3152"
"WEP","03 Jun 2018","16","88.09","87.35","0.54","-0.62","0.00","0.20","0.3016","0.0000","0.3152"
"WEP","03 Jun 2018","17","89.69","89.06","0.51","-0.70","0.00","0.20","0.3016","0.0000","0.3152"
"WEP","03 Jun 2018","18","99.25","98.46","0.53","-0.56","0.00","0.20","0.3016","0.0000","0.3152"
"WEP","03 Jun 2018","19","102.63","101.94","0.37","-0.50","0.00","0.20","0.3016","0.0000","0.3152"
"WEP","03 Jun 2018","20","106.51","106.20","0.34","-0.85","0.00","0.20","0.3016","0.0000","0.3152"
"WEP","03 Jun 2018","21","113.03","112.78","0.39","-0.96","0.00","0.20","0.3016","0.0000","0.3152"
"WEP","03 Jun 2018","22","113.51","112.79","1.13","-1.23","0.00","0.20","0.3016","0.0000","0.3152"
"WEP","03 Jun 2018","23","113.81","112.73","1.12","-0.86","0.00","0.20","0.3016","0.0000","0.3152"
"WEP","03 Jun 2018","24","113.49","112.76","0.80","-0.89","0.00","0.20","0.3016","0.0000","0.3152"
"WEP","03 Jun 2018","25","110.46","109.77","0.80","-0.92","0.00","0.20","0.3016","0.0000","0.3152"
"WEP","03 Jun 2018","26","110.34","109.69","0.79","-0.96","0.00","0.20","0.3016","0.0000","0.3152"
"WEP","03 Jun 2018","27","110.70","110.08","0.48","-0.68","0.00","0.20","0.3016","0.0000","0.3152"
"WEP","03 Jun 2018","28","113.60","112.75","0.85","-0.81","0.00","0.20","0.3016","0.0000","0.3152"
"WEP","03 Jun 2018","29","110.91","110.03","0.80","-0.73","0.00","0.20","0.3016","0.0000","0.3152"
"WEP","03 Jun 2018","30","110.40","109.82","0.79","-1.03","0.00","0.20","0.3016","0.0000","0.3152"
"WEP","03 Jun 2018","31","111.86","111.15","0.78","-0.89","0.00","0.20","0.3016","0.0000","0.3152"
"WEP","03 Jun 2018","32","112.48","112.66","0.48","-1.48","0.00","0.20","0.3016","0.0000","0.3152"
"WEP","03 Jun 2018","33","112.88","112.71","0.81","-1.45","0.00","0.20","0.3016","0.0000","0.3152"
"WEP","03 Jun 2018","34","113.41","112.73","1.16","-1.30","0.00","0.20","0.3016","0.0000","0.3152"
"WEP","03 Jun 2018","35","113.60","112.75","1.25","-1.21","0.00","0.20","0.3016","0.0000","0.3152"
"WEP","03 Jun 2018","36","113.05","111.81","1.83","-1.40","0.00","0.20","0.3016","0.0000","0.3152"
