"INFORMATION TYPE","DATE","PERIOD","WEP ($/MWh)","USEP ($/MWh)","AFP ($/MWh)","HEUR ($/MWh)","HLCU ($/MWh)","MEUC ($/MWh)","EMC Price Cap Fees ($/MWh)","EMC Price Adj Fees ($/MWh)","PSO Fees ($/MWh)"
"WEP","01 Mar 2018","1","89.45","89.13","0.24","-0.62","0.00","0.20","0.2450","0.0164","0.2414"
"WEP","01 Mar 2018","2","89.56","88.78","0.18","-0.11","0.00","0.20","0.2450","0.0164","0.2414"
"WEP","01 Mar 2018","3","87.26","86.78","0.15","-0.37","0.00","0.20","0.2450","0.0164","0.2414"
"WEP","01 Mar 2018","4","83.11","82.50","0.22","-0.31","0.00","0.20","0.2450","0.0164","0.2414"
"WEP","01 Mar 2018","5","81.27","80.70","0.24","-0.37","0.00","0.20","0.2450","0.0164","0.2414"
"WEP","01 Mar 2018","6","78.79","78.11","0.23","-0.25","0.00","0.20","0.2450","0.0164","0.2414"
"WEP","01 Mar 2018","7","78.52","77.73","0.23","-0.15","0.00","0.20","0.2450","0.0164","0.2414"
"WEP","01 Mar 2018","8","77.36","76.59","0.23","-0.16","0.00","0.20","0.2450","0.0164","0.2414"
"WEP","01 Mar 2018","9","77.37","76.58","0.23","-0.14","0.00","0.20","0.2450","0.0164","0.2414"
"WEP","01 Mar 2018","10","77.82","77.25","0.17","-0.30","0.00","0.20","0.2450","0.0164","0.2414"
"WEP","01 Mar 2018","11","78.68","78.12","0.23","-0.37","0.00","0.20","0.2450","0.0164","0.2414"
"WEP","01 Mar 2018","12","82.22","81.91","0.27","-0.66","0.00","0.20","0.2450","0.0164","0.2414"
"WEP","01 Mar 2018","13","88.56","88.77","0.15","-1.06","0.00","0.20","0.2450","0.0164","0.2414"
"WEP","01 Mar 2018","14","88.72","88.81","0.16","-0.96","0.00","0.20","0.2450","0.0164","0.2414"
"WEP","01 Mar 2018","15","79.03","79.44","0.03","-1.14","0.00","0.20","0.2450","0.0164","0.2414"
"WEP","01 Mar 2018","16","81.66","81.84","0.07","-0.95","0.00","0.20","0.2450","0.0164","0.2414"
"WEP","01 Mar 2018","17","89.32","89.56","0.18","-1.12","0.00","0.20","0.2450","0.0164","0.2414"
"WEP","01 Mar 2018","18","85.50","85.83","0.08","-1.11","0.00","0.20","0.2450","0.0164","0.2414"
"WEP","01 Mar 2018","19","87.43","87.85","0.09","-1.22","0.00","0.20","0.2450","0.0164","0.2414"
"WEP","01 Mar 2018","20","88.59","88.86","0.09","-1.06","0.00","0.20","0.2450","0.0164","0.2414"
"WEP","01 Mar 2018","21","89.34","89.57","0.09","-1.03","0.00","0.20","0.2450","0.0164","0.2414"
"WEP","01 Mar 2018","22","89.86","90.18","0.10","-1.12","0.00","0.20","0.2450","0.0164","0.2414"
"WEP","01 Mar 2018","23","89.85","90.18","0.10","-1.13","0.00","0.20","0.2450","0.0164","0.2414"
"WEP","01 Mar 2018","24","89.20","89.56","0.08","-1.14","0.00","0.20","0.2450","0.0164","0.2414"
"WEP","01 Mar 2018","25","88.91","89.16","0.08","-1.04","0.00","0.20","0.2450","0.0164","0.2414"
"WEP","01 Mar 2018","26","89.30","89.59","0.09","-1.08","0.00","0.20","0.2450","0.0164","0.2414"
"WEP","01 Mar 2018","27","89.27","89.79","0.09","-1.31","0.00","0.20","0.2450","0.0164","0.2414"
"WEP","01 Mar 2018","28","89.91","90.21","0.09","-1.09","0.00","0.20","0.2450","0.0164","0.2414"
"WEP","01 Mar 2018","29","89.97","90.43","0.10","-1.26","0.00","0.20","0.2450","0.0164","0.2414"
"WEP","01 Mar 2018","30","90.04","90.43","0.10","-1.19","0.00","0.20","0.2450","0.0164","0.2414"
"WEP","01 Mar 2018","31","91.76","92.37","0.08","-1.39","0.00","0.20","0.2450","0.0164","0.2414"
"WEP","01 Mar 2018","32","89.94","90.43","0.08","-1.27","0.00","0.20","0.2450","0.0164","0.2414"
"WEP","01 Mar 2018","33","89.71","90.21","0.09","-1.29","0.00","0.20","0.2450","0.0164","0.2414"
"WEP","01 Mar 2018","34","89.38","89.91","0.10","-1.33","0.00","0.20","0.2450","0.0164","0.2414"
"WEP","01 Mar 2018","35","88.53","89.15","0.09","-1.42","0.00","0.20","0.2450","0.0164","0.2414"
"WEP","01 Mar 2018","36","88.21","88.87","0.11","-1.47","0.00","0.20","0.2450","0.0164","0.2414"
"WEP","01 Mar 2018","37","85.47","85.84","0.05","-1.12","0.00","0.20","0.2450","0.0164","0.2414"
"WEP","01 Mar 2018","38","87.04","87.55","0.07","-1.28","0.00","0.20","0.2450","0.0164","0.2414"
"WEP","01 Mar 2018","39","87.49","87.60","0.06","-0.88","0.00","0.20","0.2450","0.0164","0.2414"
"WEP","01 Mar 2018","40","88.57","88.90","0.11","-1.14","0.00","0.20","0.2450","0.0164","0.2414"
"WEP","01 Mar 2018","41","88.41","88.92","0.17","-1.38","0.00","0.20","0.2450","0.0164","0.2414"
"WEP","01 Mar 2018","42","98.83","98.93","0.33","-1.13","0.00","0.20","0.2450","0.0164","0.2414"
"WEP","01 Mar 2018","43","97.09","97.34","0.30","-1.25","0.00","0.20","0.2450","0.0164","0.2414"
"WEP","01 Mar 2018","44","94.34","94.62","0.25","-1.23","0.00","0.20","0.2450","0.0164","0.2414"
"WEP","01 Mar 2018","45","89.85","89.78","0.19","-0.82","0.00","0.20","0.2450","0.0164","0.2414"
"WEP","01 Mar 2018","46","87.77","87.76","0.12","-0.82","0.00","0.20","0.2450","0.0164","0.2414"
"WEP","01 Mar 2018","47","81.94","81.89","0.06","-0.71","0.00","0.20","0.2450","0.0164","0.2414"
"WEP","01 Mar 2018","48","78.20","78.16","0.05","-0.72","0.00","0.20","0.2450","0.0164","0.2414"
"WEP","02 Mar 2018","1","88.96","88.78","0.03","-0.55","0.00","0.20","0.2450","0.0163","0.2398"
"WEP","02 Mar 2018","2","87.31","86.79","0.17","-0.35","0.00","0.20","0.2450","0.0163","0.2398"
"WEP","02 Mar 2018","3","86.91","86.66","0.17","-0.62","0.00","0.20","0.2450","0.0163","0.2398"
"WEP","02 Mar 2018","4","83.99","83.60","0.20","-0.52","0.00","0.20","0.2450","0.0163","0.2398"
"WEP","02 Mar 2018","5","82.41","81.91","0.24","-0.45","0.00","0.20","0.2450","0.0163","0.2398"
"WEP","02 Mar 2018","6","81.61","81.20","0.24","-0.53","0.00","0.20","0.2450","0.0163","0.2398"
"WEP","02 Mar 2018","7","80.99","80.71","0.25","-0.67","0.00","0.20","0.2450","0.0163","0.2398"
"WEP","02 Mar 2018","8","81.23","80.71","0.25","-0.43","0.00","0.20","0.2450","0.0163","0.2398"
