"INFORMATION TYPE","DATE","PERIOD","WEP ($/MWh)","USEP ($/MWh)","AFP ($/MWh)","HEUR ($/MWh)","HLCU ($/MWh)","MEUC ($/MWh)","EMC Price Cap Fees ($/MWh)","EMC Price Adj Fees ($/MWh)","PSO Fees ($/MWh)"
"WEP","01 May 2017","1","85.21","85.28","0.22","-1.07","0.00","0.23","0.2450","0.0092","0.2995"
"WEP","01 May 2017","2","79.54","79.52","0.17","-0.93","0.00","0.23","0.2450","0.0092","0.2995"
"WEP","01 May 2017","3","78.94","78.65","0.17","-0.66","0.00","0.23","0.2450","0.0092","0.2995"
"WEP","01 May 2017","4","75.73","75.62","0.03","-0.70","0.00","0.23","0.2450","0.0092","0.2995"
"WEP","01 May 2017","5","71.47","71.25","0.03","-0.59","0.00","0.23","0.2450","0.0092","0.2995"
"WEP","01 May 2017","6","70.65","70.49","0.03","-0.66","0.00","0.23","0.2450","0.0092","0.2995"
"WEP","01 May 2017","7","69.00","68.82","0.03","-0.63","0.00","0.23","0.2450","0.0092","0.2995"
"WEP","01 May 2017","8","68.94","68.75","0.03","-0.62","0.00","0.23","0.2450","0.0092","0.2995"
"WEP","01 May 2017","9","68.10","67.56","0.03","-0.27","0.00","0.23","0.2450","0.0092","0.2995"
"WEP","01 May 2017","10","69.06","68.49","0.03","-0.25","0.00","0.23","0.2450","0.0092","0.2995"
"WEP","01 May 2017","11","69.03","68.49","0.03","-0.27","0.00","0.23","0.2450","0.0092","0.2995"
"WEP","01 May 2017","12","69.18","68.50","0.19","-0.29","0.00","0.23","0.2450","0.0092","0.2995"
"WEP","01 May 2017","13","68.90","68.24","0.35","-0.47","0.00","0.23","0.2450","0.0092","0.2995"
"WEP","01 May 2017","14","68.35","67.90","0.49","-0.82","0.00","0.23","0.2450","0.0092","0.2995"
"WEP","01 May 2017","15","68.99","68.38","0.72","-0.90","0.00","0.23","0.2450","0.0092","0.2995"
"WEP","01 May 2017","16","68.54","67.91","0.74","-0.89","0.00","0.23","0.2450","0.0092","0.2995"
