"INFORMATION TYPE","DATE","PERIOD","WEP ($/MWh)","USEP ($/MWh)","AFP ($/MWh)","HEUR ($/MWh)","HLCU ($/MWh)","MEUC ($/MWh)","EMC Price Cap Fees ($/MWh)","EMC Price Adj Fees ($/MWh)","PSO Fees ($/MWh)"
"WEP","01 Nov 2017","1","70.11","71.54","0.04","-2.19","0.00","0.20","0.2450","0.0173","0.2540"
"WEP","01 Nov 2017","2","68.79","69.53","0.02","-1.47","0.00","0.20","0.2450","0.0173","0.2540"
"WEP","01 Nov 2017","3","68.95","69.53","0.02","-1.31","0.00","0.20","0.2450","0.0173","0.2540"
"WEP","01 Nov 2017","4","68.43","68.88","0.02","-1.18","0.00","0.20","0.2450","0.0173","0.2540"
"WEP","01 Nov 2017","5","67.95","68.50","0.02","-1.29","0.00","0.20","0.2450","0.0173","0.2540"
"WEP","01 Nov 2017","6","66.56","67.15","0.02","-1.32","0.00","0.20","0.2450","0.0173","0.2540"
"WEP","01 Nov 2017","7","66.98","67.11","0.16","-1.00","0.00","0.20","0.2450","0.0173","0.2540"
"WEP","01 Nov 2017","8","66.66","67.11","0.16","-1.33","0.00","0.20","0.2450","0.0173","0.2540"
"WEP","01 Nov 2017","9","66.71","67.11","0.16","-1.28","0.00","0.20","0.2450","0.0173","0.2540"
"WEP","01 Nov 2017","10","66.74","67.15","0.16","-1.29","0.00","0.20","0.2450","0.0173","0.2540"
"WEP","01 Nov 2017","11","67.98","68.51","0.16","-1.41","0.00","0.20","0.2450","0.0173","0.2540"
"WEP","01 Nov 2017","12","69.06","69.53","0.22","-1.41","0.00","0.20","0.2450","0.0173","0.2540"
"WEP","01 Nov 2017","13","72.29","73.05","0.21","-1.68","0.00","0.20","0.2450","0.0173","0.2540"
"WEP","01 Nov 2017","14","73.87","74.67","0.26","-1.78","0.00","0.20","0.2450","0.0173","0.2540"
"WEP","01 Nov 2017","15","70.67","71.04","0.28","-1.37","0.00","0.20","0.2450","0.0173","0.2540"
"WEP","01 Nov 2017","16","74.27","74.51","0.27","-1.23","0.00","0.20","0.2450","0.0173","0.2540"
"WEP","01 Nov 2017","17","76.98","77.67","0.35","-1.75","0.00","0.20","0.2450","0.0173","0.2540"
"WEP","01 Nov 2017","18","74.43","74.72","0.25","-1.25","0.00","0.20","0.2450","0.0173","0.2540"
"WEP","01 Nov 2017","19","81.49","81.92","0.24","-1.39","0.00","0.20","0.2450","0.0173","0.2540"
"WEP","01 Nov 2017","20","80.91","81.14","0.18","-1.13","0.00","0.20","0.2450","0.0173","0.2540"
"WEP","01 Nov 2017","21","82.05","82.79","0.17","-1.62","0.00","0.20","0.2450","0.0173","0.2540"
"WEP","01 Nov 2017","22","85.47","86.13","0.17","-1.55","0.00","0.20","0.2450","0.0173","0.2540"
"WEP","01 Nov 2017","23","85.45","86.16","0.13","-1.56","0.00","0.20","0.2450","0.0173","0.2540"
"WEP","01 Nov 2017","24","81.55","82.18","0.08","-1.42","0.00","0.20","0.2450","0.0173","0.2540"
"WEP","01 Nov 2017","25","86.62","87.19","0.24","-1.53","0.00","0.20","0.2450","0.0173","0.2540"
"WEP","01 Nov 2017","26","85.84","87.32","0.16","-2.36","0.00","0.20","0.2450","0.0173","0.2540"
"WEP","01 Nov 2017","27","85.33","86.59","0.03","-2.01","0.00","0.20","0.2450","0.0173","0.2540"
"WEP","01 Nov 2017","28","85.77","86.19","0.03","-1.17","0.00","0.20","0.2450","0.0173","0.2540"
"WEP","01 Nov 2017","29","85.05","85.76","0.16","-1.59","0.00","0.20","0.2450","0.0173","0.2540"
"WEP","01 Nov 2017","30","84.52","85.41","0.03","-1.63","0.00","0.20","0.2450","0.0173","0.2540"
"WEP","01 Nov 2017","31","84.54","85.45","0.04","-1.66","0.00","0.20","0.2450","0.0173","0.2540"
"WEP","01 Nov 2017","32","84.20","85.46","0.16","-2.14","0.00","0.20","0.2450","0.0173","0.2540"
"WEP","01 Nov 2017","33","84.44","85.43","0.04","-1.75","0.00","0.20","0.2450","0.0173","0.2540"
"WEP","01 Nov 2017","34","81.11","82.18","0.17","-1.95","0.00","0.20","0.2450","0.0173","0.2540"
"WEP","01 Nov 2017","35","76.90","77.69","0.18","-1.69","0.00","0.20","0.2450","0.0173","0.2540"
"WEP","01 Nov 2017","36","74.24","75.27","0.23","-1.97","0.00","0.20","0.2450","0.0173","0.2540"
"WEP","01 Nov 2017","37","73.83","74.75","0.25","-1.88","0.00","0.20","0.2450","0.0173","0.2540"
"WEP","01 Nov 2017","38","74.73","75.20","0.25","-1.44","0.00","0.20","0.2450","0.0173","0.2540"
"WEP","01 Nov 2017","39","75.56","76.22","0.20","-1.57","0.00","0.20","0.2450","0.0173","0.2540"
"WEP","01 Nov 2017","40","74.68","75.26","0.23","-1.52","0.00","0.20","0.2450","0.0173","0.2540"
"WEP","01 Nov 2017","41","74.42","75.72","0.19","-2.20","0.00","0.20","0.2450","0.0173","0.2540"
"WEP","01 Nov 2017","42","85.03","86.58","0.25","-2.52","0.00","0.20","0.2450","0.0173","0.2540"
"WEP","01 Nov 2017","43","84.01","85.45","0.22","-2.37","0.00","0.20","0.2450","0.0173","0.2540"
"WEP","01 Nov 2017","44","81.29","82.67","0.19","-2.29","0.00","0.20","0.2450","0.0173","0.2540"
"WEP","01 Nov 2017","45","73.64","75.18","0.20","-2.46","0.00","0.20","0.2450","0.0173","0.2540"
"WEP","01 Nov 2017","46","71.65","72.69","0.20","-1.96","0.00","0.20","0.2450","0.0173","0.2540"
"WEP","01 Nov 2017","47","69.18","71.05","0.06","-2.64","0.00","0.20","0.2450","0.0173","0.2540"
"WEP","01 Nov 2017","48","68.04","69.78","0.05","-2.51","0.00","0.20","0.2450","0.0173","0.2540"
"WEP","02 Nov 2017","1","76.99","77.16","0.20","-1.08","0.00","0.20","0.2450","0.0170","0.2507"
"WEP","02 Nov 2017","2","75.52","75.11","0.17","-0.47","0.00","0.20","0.2450","0.0170","0.2507"
"WEP","02 Nov 2017","3","71.80","71.91","0.17","-1.00","0.00","0.20","0.2450","0.0170","0.2507"
"WEP","02 Nov 2017","4","71.64","71.91","0.16","-1.14","0.00","0.20","0.2450","0.0170","0.2507"
"WEP","02 Nov 2017","5","70.90","70.53","0.16","-0.50","0.00","0.20","0.2450","0.0170","0.2507"
"WEP","02 Nov 2017","6","70.82","70.52","0.20","-0.61","0.00","0.20","0.2450","0.0170","0.2507"
"WEP","02 Nov 2017","7","69.14","69.04","0.19","-0.80","0.00","0.20","0.2450","0.0170","0.2507"
"WEP","02 Nov 2017","8","68.50","69.00","0.19","-1.41","0.00","0.20","0.2450","0.0170","0.2507"
"WEP","02 Nov 2017","9","68.01","69.00","0.17","-1.87","0.00","0.20","0.2450","0.0170","0.2507"
"WEP","02 Nov 2017","10","67.96","69.01","0.16","-1.92","0.00","0.20","0.2450","0.0170","0.2507"
"WEP","02 Nov 2017","11","70.82","71.87","0.16","-1.92","0.00","0.20","0.2450","0.0170","0.2507"
"WEP","02 Nov 2017","12","71.20","71.91","0.25","-1.67","0.00","0.20","0.2450","0.0170","0.2507"
"WEP","02 Nov 2017","13","75.83","76.10","0.29","-1.27","0.00","0.20","0.2450","0.0170","0.2507"
"WEP","02 Nov 2017","14","73.55","74.10","0.21","-1.47","0.00","0.20","0.2450","0.0170","0.2507"
"WEP","02 Nov 2017","15","70.70","71.09","0.28","-1.38","0.00","0.20","0.2450","0.0170","0.2507"
"WEP","02 Nov 2017","16","77.32","77.17","0.27","-0.84","0.00","0.20","0.2450","0.0170","0.2507"
"WEP","02 Nov 2017","17","87.43","87.30","0.35","-0.93","0.00","0.20","0.2450","0.0170","0.2507"
"WEP","02 Nov 2017","18","92.99","92.59","0.38","-0.69","0.00","0.20","0.2450","0.0170","0.2507"
"WEP","02 Nov 2017","19","97.76","97.87","0.38","-1.20","0.00","0.20","0.2450","0.0170","0.2507"
"WEP","02 Nov 2017","20","100.82","100.64","0.34","-0.87","0.00","0.20","0.2450","0.0170","0.2507"
"WEP","02 Nov 2017","21","100.79","100.97","0.21","-1.10","0.00","0.20","0.2450","0.0170","0.2507"
"WEP","02 Nov 2017","22","122.89","123.25","0.08","-1.16","0.00","0.20","0.2450","0.0170","0.2507"
"WEP","02 Nov 2017","23","113.62","114.09","0.16","-1.34","0.00","0.20","0.2450","0.0170","0.2507"
"WEP","02 Nov 2017","24","100.77","100.98","0.16","-1.08","0.00","0.20","0.2450","0.0170","0.2507"
"WEP","02 Nov 2017","25","97.89","97.93","0.16","-0.92","0.00","0.20","0.2450","0.0170","0.2507"
"WEP","02 Nov 2017","26","97.90","97.92","0.16","-0.89","0.00","0.20","0.2450","0.0170","0.2507"
"WEP","02 Nov 2017","27","104.18","104.32","0.16","-1.01","0.00","0.20","0.2450","0.0170","0.2507"
"WEP","02 Nov 2017","28","101.10","100.84","0.25","-0.71","0.00","0.20","0.2450","0.0170","0.2507"
"WEP","02 Nov 2017","29","97.47","97.55","0.23","-1.02","0.00","0.20","0.2450","0.0170","0.2507"
"WEP","02 Nov 2017","30","100.04","100.98","0.03","-1.68","0.00","0.20","0.2450","0.0170","0.2507"
"WEP","02 Nov 2017","31","100.37","100.98","0.03","-1.35","0.00","0.20","0.2450","0.0170","0.2507"
