"INFORMATION TYPE","DATE","PERIOD","WEP ($/MWh)","USEP ($/MWh)","AFP ($/MWh)","HEUR ($/MWh)","HLCU ($/MWh)","MEUC ($/MWh)","EMC Price Cap Fees ($/MWh)","EMC Price Adj Fees ($/MWh)","PSO Fees ($/MWh)"
"WEP","01 Oct 2018","1","115.06","115.10","0.13","-0.88","0.00","0.20","0.3016","0.0000","0.2125"
"WEP","01 Oct 2018","2","107.87","107.50","0.18","-0.52","0.00","0.20","0.3016","0.0000","0.2125"
"WEP","01 Oct 2018","3","107.85","107.49","0.17","-0.53","0.00","0.20","0.3016","0.0000","0.2125"
"WEP","01 Oct 2018","4","107.33","106.93","0.16","-0.47","0.00","0.20","0.3016","0.0000","0.2125"
"WEP","01 Oct 2018","5","106.82","106.81","0.18","-0.89","0.00","0.20","0.3016","0.0000","0.2125"
"WEP","01 Oct 2018","6","105.99","106.15","0.17","-1.05","0.00","0.20","0.3016","0.0000","0.2125"
"WEP","01 Oct 2018","7","105.94","106.15","0.13","-1.06","0.00","0.20","0.3016","0.0000","0.2125"
"WEP","01 Oct 2018","8","108.03","108.25","0.13","-1.06","0.00","0.20","0.3016","0.0000","0.2125"
"WEP","01 Oct 2018","9","106.30","106.08","0.13","-0.63","0.00","0.20","0.3016","0.0000","0.2125"
"WEP","01 Oct 2018","10","106.66","106.80","0.13","-0.98","0.00","0.20","0.3016","0.0000","0.2125"
"WEP","01 Oct 2018","11","106.06","106.09","0.18","-0.93","0.00","0.20","0.3016","0.0000","0.2125"
"WEP","01 Oct 2018","12","108.06","108.33","0.13","-1.12","0.00","0.20","0.3016","0.0000","0.2125"
"WEP","01 Oct 2018","13","115.28","115.11","0.76","-1.30","0.00","0.20","0.3016","0.0000","0.2125"
"WEP","01 Oct 2018","14","117.31","117.15","0.76","-1.32","0.00","0.20","0.3016","0.0000","0.2125"
"WEP","01 Oct 2018","15","108.46","108.24","0.95","-1.45","0.00","0.20","0.3016","0.0000","0.2125"
"WEP","01 Oct 2018","16","118.76","117.88","0.93","-0.76","0.00","0.20","0.3016","0.0000","0.2125"
"WEP","01 Oct 2018","17","139.11","138.30","1.22","-1.13","0.00","0.20","0.3016","0.0000","0.2125"
"WEP","01 Oct 2018","18","302.10","298.97","4.18","-1.76","0.00","0.20","0.3016","0.0000","0.2125"
"WEP","01 Oct 2018","19","349.60","346.44","4.83","-2.39","0.00","0.20","0.3016","0.0000","0.2125"
"WEP","01 Oct 2018","20","398.77","398.76","4.72","-5.42","0.00","0.20","0.3016","0.0000","0.2125"
"WEP","01 Oct 2018","21","468.44","467.40","4.76","-4.43","0.00","0.20","0.3016","0.0000","0.2125"
"WEP","01 Oct 2018","22","649.18","649.68","4.95","-6.24","0.07","0.20","0.3016","0.0000","0.2125"
"WEP","01 Oct 2018","23","654.82","659.26","4.93","-10.08","0.00","0.20","0.3016","0.0000","0.2125"
"WEP","01 Oct 2018","24","553.30","558.34","3.81","-9.56","0.00","0.20","0.3016","0.0000","0.2125"
"WEP","01 Oct 2018","25","435.80","439.90","3.52","-8.34","0.00","0.20","0.3016","0.0000","0.2125"
"WEP","01 Oct 2018","26","504.86","509.40","3.60","-8.85","0.00","0.20","0.3016","0.0000","0.2125"
"WEP","01 Oct 2018","27","733.44","741.36","3.56","-12.19","0.00","0.20","0.3016","0.0000","0.2125"
"WEP","01 Oct 2018","28","892.63","901.97","4.76","-14.82","0.00","0.20","0.3016","0.0000","0.2125"
"WEP","01 Oct 2018","29","892.56","901.99","4.70","-14.84","0.00","0.20","0.3016","0.0000","0.2125"
"WEP","01 Oct 2018","30","892.44","901.88","4.53","-14.69","0.00","0.20","0.3016","0.0000","0.2125"
"WEP","01 Oct 2018","31","730.52","741.22","3.23","-14.64","0.00","0.20","0.3016","0.0000","0.2125"
"WEP","01 Oct 2018","32","729.33","740.48","3.24","-15.10","0.00","0.20","0.3016","0.0000","0.2125"
"WEP","01 Oct 2018","33","806.88","820.77","3.53","-18.13","0.00","0.20","0.3016","0.0000","0.2125"
"WEP","01 Oct 2018","34","663.69","673.33","3.72","-14.07","0.00","0.20","0.3016","0.0000","0.2125"
"WEP","01 Oct 2018","35","434.81","439.94","3.64","-9.49","0.00","0.20","0.3016","0.0000","0.2125"
"WEP","01 Oct 2018","36","316.44","320.32","3.65","-8.24","0.00","0.20","0.3016","0.0000","0.2125"
"WEP","01 Oct 2018","37","169.35","170.30","0.97","-2.63","0.00","0.20","0.3016","0.0000","0.2125"
"WEP","01 Oct 2018","38","138.54","139.58","0.40","-2.16","0.00","0.20","0.3016","0.0000","0.2125"
"WEP","01 Oct 2018","39","145.80","146.72","0.50","-2.13","0.00","0.20","0.3016","0.0000","0.2125"
"WEP","01 Oct 2018","40","138.98","140.29","0.35","-2.37","0.00","0.20","0.3016","0.0000","0.2125"
"WEP","01 Oct 2018","41","150.43","151.66","0.81","-2.76","0.00","0.20","0.3016","0.0000","0.2125"
"WEP","01 Oct 2018","42","171.33","172.77","0.93","-3.08","0.00","0.20","0.3016","0.0000","0.2125"
"WEP","01 Oct 2018","43","297.49","300.10","3.49","-6.81","0.00","0.20","0.3016","0.0000","0.2125"
"WEP","01 Oct 2018","44","167.61","168.78","1.15","-3.03","0.00","0.20","0.3016","0.0000","0.2125"
"WEP","01 Oct 2018","45","133.85","134.89","0.59","-2.35","0.00","0.20","0.3016","0.0000","0.2125"
"WEP","01 Oct 2018","46","134.94","136.44","0.57","-2.79","0.00","0.20","0.3016","0.0000","0.2125"
"WEP","01 Oct 2018","47","167.11","167.90","0.94","-2.45","0.00","0.20","0.3016","0.0000","0.2125"
"WEP","01 Oct 2018","48","127.45","128.13","0.37","-1.77","0.00","0.20","0.3016","0.0000","0.2125"
"WEP","02 Oct 2018","1","126.11","127.35","0.14","-2.09","0.00","0.20","0.3016","0.0000","0.2106"
"WEP","02 Oct 2018","2","120.29","121.12","0.10","-1.64","0.00","0.20","0.3016","0.0000","0.2106"
"WEP","02 Oct 2018","3","119.88","121.08","0.03","-1.94","0.00","0.20","0.3016","0.0000","0.2106"
"WEP","02 Oct 2018","4","116.95","117.72","0.02","-1.50","0.00","0.20","0.3016","0.0000","0.2106"
"WEP","02 Oct 2018","5","117.18","117.72","0.02","-1.27","0.00","0.20","0.3016","0.0000","0.2106"
"WEP","02 Oct 2018","6","115.05","116.02","0.02","-1.70","0.00","0.20","0.3016","0.0000","0.2106"
"WEP","02 Oct 2018","7","110.87","112.28","0.02","-2.14","0.00","0.20","0.3016","0.0000","0.2106"
"WEP","02 Oct 2018","8","114.86","115.68","0.02","-1.55","0.00","0.20","0.3016","0.0000","0.2106"
"WEP","02 Oct 2018","9","115.67","116.03","0.02","-1.09","0.00","0.20","0.3016","0.0000","0.2106"
"WEP","02 Oct 2018","10","115.89","116.38","0.02","-1.22","0.00","0.20","0.3016","0.0000","0.2106"
"WEP","02 Oct 2018","11","118.16","118.72","0.02","-1.29","0.00","0.20","0.3016","0.0000","0.2106"
"WEP","02 Oct 2018","12","120.59","121.05","0.15","-1.32","0.00","0.20","0.3016","0.0000","0.2106"
"WEP","02 Oct 2018","13","121.07","121.09","0.21","-0.94","0.00","0.20","0.3016","0.0000","0.2106"
"WEP","02 Oct 2018","14","120.14","121.22","0.28","-2.07","0.00","0.20","0.3016","0.0000","0.2106"
"WEP","02 Oct 2018","15","122.35","123.01","0.39","-1.76","0.00","0.20","0.3016","0.0000","0.2106"
"WEP","02 Oct 2018","16","128.16","128.35","0.46","-1.37","0.00","0.20","0.3016","0.0000","0.2106"
"WEP","02 Oct 2018","17","150.81","151.26","0.89","-2.05","0.00","0.20","0.3016","0.0000","0.2106"
"WEP","02 Oct 2018","18","310.04","309.71","3.92","-4.30","0.00","0.20","0.3016","0.0000","0.2106"
"WEP","02 Oct 2018","19","346.28","345.31","3.98","-3.73","0.00","0.20","0.3016","0.0000","0.2106"
"WEP","02 Oct 2018","20","576.65","579.73","3.72","-7.51","0.00","0.20","0.3016","0.0000","0.2106"
"WEP","02 Oct 2018","21","733.44","740.78","3.58","-11.63","0.00","0.20","0.3016","0.0000","0.2106"
"WEP","02 Oct 2018","22","892.70","902.00","5.00","-15.01","0.00","0.20","0.3016","0.0000","0.2106"
"WEP","02 Oct 2018","23","732.12","741.38","3.18","-13.15","0.00","0.20","0.3016","0.0000","0.2106"
"WEP","02 Oct 2018","24","498.64","504.49","2.97","-9.53","0.00","0.20","0.3016","0.0000","0.2106"
"WEP","02 Oct 2018","25","389.30","393.75","3.00","-8.16","0.00","0.20","0.3016","0.0000","0.2106"
"WEP","02 Oct 2018","26","479.54","485.32","2.99","-9.49","0.00","0.20","0.3016","0.0000","0.2106"
"WEP","02 Oct 2018","27","532.03","541.53","2.91","-13.12","0.00","0.20","0.3016","0.0000","0.2106"
"WEP","02 Oct 2018","28","652.28","665.11","3.10","-16.64","0.00","0.20","0.3016","0.0000","0.2106"
