"INFORMATION TYPE","DATE","PERIOD","WEP ($/MWh)","USEP ($/MWh)","AFP ($/MWh)","HEUR ($/MWh)","HLCU ($/MWh)","MEUC ($/MWh)","EMC Price Cap Fees ($/MWh)","EMC Price Adj Fees ($/MWh)","PSO Fees ($/MWh)"
"WEP","01 Sep 2017","1","76.95","76.53","0.29","-0.59","0.00","0.19","0.2450","0.0183","0.2695"
"WEP","01 Sep 2017","2","75.84","75.21","0.23","-0.32","0.00","0.19","0.2450","0.0183","0.2695"
"WEP","01 Sep 2017","3","73.22","72.67","0.19","-0.37","0.00","0.19","0.2450","0.0183","0.2695"
"WEP","01 Sep 2017","4","72.23","71.64","0.18","-0.31","0.00","0.19","0.2450","0.0183","0.2695"
"WEP","01 Sep 2017","5","71.52","70.99","0.18","-0.38","0.00","0.19","0.2450","0.0183","0.2695"
"WEP","01 Sep 2017","6","71.22","70.53","0.18","-0.22","0.00","0.19","0.2450","0.0183","0.2695"
"WEP","01 Sep 2017","7","70.41","69.58","0.15","-0.04","0.00","0.19","0.2450","0.0183","0.2695"
"WEP","01 Sep 2017","8","67.30","66.55","0.18","-0.15","0.00","0.19","0.2450","0.0183","0.2695"
"WEP","01 Sep 2017","9","66.65","65.90","0.15","-0.12","0.00","0.19","0.2450","0.0183","0.2695"
"WEP","01 Sep 2017","10","66.52","65.91","0.15","-0.26","0.00","0.19","0.2450","0.0183","0.2695"
"WEP","01 Sep 2017","11","66.52","65.91","0.15","-0.26","0.00","0.19","0.2450","0.0183","0.2695"
"WEP","01 Sep 2017","12","66.65","65.91","0.27","-0.25","0.00","0.19","0.2450","0.0183","0.2695"
"WEP","01 Sep 2017","13","66.59","65.93","0.42","-0.48","0.00","0.19","0.2450","0.0183","0.2695"
"WEP","01 Sep 2017","14","65.82","65.52","0.18","-0.61","0.00","0.19","0.2450","0.0183","0.2695"
"WEP","01 Sep 2017","15","65.98","65.42","0.29","-0.45","0.00","0.19","0.2450","0.0183","0.2695"
"WEP","01 Sep 2017","16","67.69","66.98","0.37","-0.39","0.00","0.19","0.2450","0.0183","0.2695"
"WEP","01 Sep 2017","17","69.80","69.09","0.42","-0.43","0.00","0.19","0.2450","0.0183","0.2695"
"WEP","01 Sep 2017","18","71.31","70.68","0.28","-0.37","0.00","0.19","0.2450","0.0183","0.2695"
"WEP","01 Sep 2017","19","73.20","72.66","0.35","-0.53","0.00","0.19","0.2450","0.0183","0.2695"
"WEP","01 Sep 2017","20","77.26","76.71","0.21","-0.38","0.00","0.19","0.2450","0.0183","0.2695"
"WEP","01 Sep 2017","21","77.64","77.25","0.18","-0.51","0.00","0.19","0.2450","0.0183","0.2695"
"WEP","01 Sep 2017","22","74.98","74.68","0.16","-0.58","0.00","0.19","0.2450","0.0183","0.2695"
"WEP","01 Sep 2017","23","74.95","74.68","0.15","-0.61","0.00","0.19","0.2450","0.0183","0.2695"
"WEP","01 Sep 2017","24","73.62","73.50","0.11","-0.71","0.00","0.19","0.2450","0.0183","0.2695"
"WEP","01 Sep 2017","25","73.51","73.48","0.11","-0.80","0.00","0.19","0.2450","0.0183","0.2695"
"WEP","01 Sep 2017","26","73.93","73.61","0.11","-0.52","0.00","0.19","0.2450","0.0183","0.2695"
"WEP","01 Sep 2017","27","75.32","74.68","0.13","-0.21","0.00","0.19","0.2450","0.0183","0.2695"
"WEP","01 Sep 2017","28","73.80","73.19","0.11","-0.22","0.00","0.19","0.2450","0.0183","0.2695"
"WEP","01 Sep 2017","29","72.98","72.66","0.12","-0.52","0.00","0.19","0.2450","0.0183","0.2695"
"WEP","01 Sep 2017","30","70.89","70.66","0.09","-0.58","0.00","0.19","0.2450","0.0183","0.2695"
"WEP","01 Sep 2017","31","70.75","70.67","0.09","-0.73","0.00","0.19","0.2450","0.0183","0.2695"
"WEP","01 Sep 2017","32","70.81","70.67","0.09","-0.67","0.00","0.19","0.2450","0.0183","0.2695"
"WEP","01 Sep 2017","33","71.19","71.14","0.10","-0.77","0.00","0.19","0.2450","0.0183","0.2695"
"WEP","01 Sep 2017","34","72.82","72.65","0.20","-0.75","0.00","0.19","0.2450","0.0183","0.2695"
"WEP","01 Sep 2017","35","72.22","71.57","0.20","-0.27","0.00","0.19","0.2450","0.0183","0.2695"
"WEP","01 Sep 2017","36","71.77","71.14","0.26","-0.35","0.00","0.19","0.2450","0.0183","0.2695"
"WEP","01 Sep 2017","37","73.25","72.65","0.27","-0.40","0.00","0.19","0.2450","0.0183","0.2695"
"WEP","01 Sep 2017","38","76.64","76.69","0.27","-1.04","0.00","0.19","0.2450","0.0183","0.2695"
"WEP","01 Sep 2017","39","78.93","78.67","0.26","-0.72","0.00","0.19","0.2450","0.0183","0.2695"
"WEP","01 Sep 2017","40","79.37","78.81","0.23","-0.39","0.00","0.19","0.2450","0.0183","0.2695"
"WEP","01 Sep 2017","41","79.25","78.69","0.20","-0.36","0.00","0.19","0.2450","0.0183","0.2695"
"WEP","01 Sep 2017","42","79.58","78.83","0.20","-0.18","0.00","0.19","0.2450","0.0183","0.2695"
"WEP","01 Sep 2017","43","79.28","78.83","0.20","-0.47","0.00","0.19","0.2450","0.0183","0.2695"
"WEP","01 Sep 2017","44","77.17","76.76","0.19","-0.50","0.00","0.19","0.2450","0.0183","0.2695"
"WEP","01 Sep 2017","45","74.13","73.63","0.20","-0.43","0.00","0.19","0.2450","0.0183","0.2695"
